"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000046834","C3","complement C3","24232",166.410085082302,2.53926852349573,0.247732664689116,10.2500351606128,1.18300496762339e-24,1.60876845547105e-20,"up"
"ENSRNOG00000028648","Olig1","oligodendrocyte transcription factor 1","60394",508.686655369529,-1.00340979673433,0.115909425268058,-8.65684386247098,4.85006343263125e-18,3.29780063101762e-14,"down"
"ENSRNOG00000015093","Sparcl1","SPARC like 1","25434",1976.00055246682,-0.606354273949165,0.0785450326583977,-7.71982967511487,1.16485257641065e-14,5.28027672886946e-11,"down"
"ENSRNOG00000020918","Ccnd1","cyclin D1","58919",938.931892358273,-0.766000788650807,0.105733536644391,-7.24463413370032,4.33608096844708e-13,1.4741591272478e-09,"down"
"ENSRNOG00000002461","Nid1","nidogen 1","25494",811.054413910568,-0.730342034516131,0.103600455813874,-7.0496025213272,1.79429592935504e-12,4.88012606865985e-09,"down"
"ENSRNOG00000018454","Apoe","apolipoprotein E","25728",869.773544194376,0.816246205476605,0.118346027189154,6.89711539004165,5.30690756064551e-12,1.20281059862031e-08,"up"
"ENSRNOG00000046254","Adgre1","adhesion G protein-coupled receptor E1","316137",83.8045670713764,2.02053349861534,0.297954575343291,6.78134744629232,1.19060155825949e-11,2.02387382384634e-08,"up"
"ENSRNOG00000018087","Vim","vimentin","81818",9113.83068813633,-0.347125803327768,0.0511409290198162,-6.78763194139987,1.13988998910112e-11,2.02387382384634e-08,"ns"
"ENSRNOG00000016163","Slc1a3","solute carrier family 1 member 3","29483",3665.28158590239,-0.437068677182573,0.0680122519783578,-6.42632267670908,1.30727754760293e-10,1.77776673698522e-07,"ns"
"ENSRNOG00000001480","Ncf1","neutrophil cytosolic factor 1","114553",135.777160574115,1.833096823772,0.285243717315326,6.42642313396016,1.30641433802511e-10,1.77776673698522e-07,"up"
"ENSRNOG00000058645","Tnc","tenascin C","116640",5475.51473483346,-0.435441499316733,0.06844492633185,-6.36192516601637,1.99240515520514e-10,2.4631561550577e-07,"ns"
