"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000012302","Gucy1a1","guanylate cyclase 1 soluble subunit alpha 1","497757",2437.87301547391,2.43181997407403,0.0670843203461753,36.2501991750846,9.86547106160931e-288,1.39576684579648e-283,"up"
"ENSRNOG00000048433","Tshz2","teashirt zinc finger homeobox 2","100911757",1397.25520226485,2.75003824591127,0.0871004263178122,31.5731892732295,8.61835827785301e-219,6.09662664575322e-215,"up"
"ENSRNOG00000012060","Gucy1b1","guanylate cyclase 1 soluble subunit beta 1","25202",2096.65665567876,2.16604115992775,0.0699894150691144,30.9481249098709,2.69259841799456e-210,1.26982941392623e-206,"up"
"ENSRNOG00000018524","Ezr","ezrin","54319",5357.58012400678,-1.62861827163448,0.0536108375293549,-30.3785269301701,1.05562343566018e-202,3.73374009193006e-199,"down"
"ENSRNOG00000058938","Camkv","CaM kinase-like vesicle-associated","79011",6705.24149034758,1.26099782024493,0.0482592725122022,26.1296483473945,1.67897128168516e-150,4.75081713865632e-147,"up"
"ENSRNOG00000004179","Nts","neurotensin","299757",1170.35196416362,2.50157058137324,0.0997260288550334,25.0844299135749,7.35510195059973e-139,1.73433303995142e-135,"up"
"ENSRNOG00000004438","Cntn1","contactin 1","117258",3442.79406953467,1.36475535333335,0.0555430385254369,24.571132396877,2.57160591061676e-133,5.19758291762941e-130,"up"
"ENSRNOG00000012364","Prickle2","prickle planar cell polarity protein 2","312563",3383.86681159871,1.66338292475798,0.0690138160780926,24.1021728587762,2.37195905683143e-128,4.19480959200638e-125,"up"
"ENSRNOG00000028648","Olig1","oligodendrocyte transcription factor 1","60394",508.686655369529,3.36693050278725,0.140944486492959,23.888344883611,4.04824834596149e-126,6.36384639985147e-123,"up"
"ENSRNOG00000052080","Camk2b","calcium/calmodulin-dependent protein kinase II beta","24245",21328.18964736,0.957379054318103,0.0403597285865379,23.7211469909993,2.18194487764389e-124,3.08701561289058e-121,"up"
"ENSRNOG00000025235","Tmem130","transmembrane protein 130","304280",5954.21826348862,1.40747698465807,0.0602786237187831,23.3495209051944,1.39368906668076e-120,1.79253753776358e-117,"up"
"ENSRNOG00000004208","Crim1","cysteine rich transmembrane BMP regulator 1","298744",2437.24251644586,1.47132446334297,0.0639820101438542,22.9959086942551,5.12206510724881e-117,6.03891476144635e-114,"up"
"ENSRNOG00000010803","Gabra5","gamma-aminobutyric acid type A receptor subunit alpha 5","29707",1501.88569795646,1.76361668090162,0.0768983078075774,22.9344016946994,2.10888339608982e-116,2.29511402214452e-113,"up"
"ENSRNOG00000033134","Mef2c","myocyte enhancer factor 2C","499497",19204.8053705156,1.15497567063288,0.0508107944569625,22.7309114721905,2.21685434469682e-114,2.24028966205505e-111,"up"
"ENSRNOG00000011133","Trpc4","transient receptor potential cation channel, subfamily C, member 4","84494",1016.32146427004,2.02382550146013,0.0897714180227013,22.544207789481,1.53058571011664e-112,1.44364844178202e-109,"up"
"ENSRNOG00000004180",NA,NA,NA,2836.59138230212,1.46455977670715,0.065374632146257,22.40257005853,3.71516455061241e-111,3.28513425387902e-108,"up"
"ENSRNOG00000015093","Sparcl1","SPARC like 1","25434",1976.00055246682,1.81552967804462,0.0818990668310992,22.1678921176085,7.01179468191945e-109,5.83546300939979e-106,"up"
"ENSRNOG00000008431","Gabbr2","gamma-aminobutyric acid type B receptor subunit 2","83633",4053.64196944221,1.2739789101943,0.058842153011722,21.6507868082344,5.97515339944242e-104,4.69647057196174e-101,"up"
"ENSRNOG00000026589","Dpy19l1","dpy-19 like C-mannosyltransferase 1","315496",8880.08861664973,-1.07634618885776,0.0497629174962926,-21.629483217859,9.48396645350843e-104,7.06206091495986e-101,"down"
