"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000070","mitotic sister chromatid segregation","8/59","161/10689",0.0496894409937888,9.00221075902727,7.62180057917647,2.5712346201016e-06,0.00557513089994008,0.00557513089994008,"Kif11/Smc4/Racgap1/Kif22/Zwilch/Uhrf1/Mybl2/Bub1b",8
"GO:0098813","nuclear chromosome segregation","9/59","233/10689",0.0386266094420601,6.99796319196916,6.89614787618984,4.63339635806742e-06,0.00557513089994008,0.00557513089994008,"Kif11/Smc4/Racgap1/Kif22/Sgo2/Zwilch/Uhrf1/Mybl2/Bub1b",9
"GO:0050767","regulation of neurogenesis","11/59","375/10689",0.0293333333333333,5.31430508474576,6.33607806315539,5.26750840886251e-06,0.00557513089994008,0.00557513089994008,"Lrp4/Vim/Apoe/Fgfr3/Egfr/Mest/Olig2/Id1/Rnf112/Mt3/Hmgb2l1",11
"GO:0010001","glial cell differentiation","9/59","248/10689",0.0362903225806452,6.57469928922909,6.61734586520546,7.69429177770283e-06,0.0067863653479339,0.0067863653479339,"Vim/Mt2/Phgdh/Apoe/Fgfr3/Egfr/Olig2/Rnf112/Olig1",9
"GO:0000280","nuclear division","10/59","324/10689",0.0308641975308642,5.5916509730069,6.25265284030869,9.56762436064687e-06,0.00723312401664903,0.00723312401664903,"Kif11/Smc4/Racgap1/Kif22/Fgfr3/Sgo2/Zwilch/Uhrf1/Mybl2/Bub1b",10
"GO:0051276","chromosome organization","11/59","415/10689",0.0265060240963855,4.8020829079028,5.88550111898086,1.37664816247368e-05,0.00910652759476338,0.00910652759476338,"Kif11/Smc4/Pcna/Racgap1/Kif22/Sgo2/Zwilch/Hmgb2l1/Uhrf1/Mybl2/Bub1b",11
"GO:0050673","epithelial cell proliferation","9/59","294/10689",0.0306122448979592,5.54600484261501,5.8884217545685,2.99311444204449e-05,0.0168797342499751,0.0168797342499751,"Zfp36l1/Ccnd1/Apoe/Fgfr3/Egfr/Fabp7/Id1/Hmgb2l1/Uhrf1",9
"GO:0051960","regulation of nervous system development","11/59","459/10689",0.0239651416122004,4.34175252021713,5.45193169736987,3.50863712678998e-05,0.0168797342499751,0.0168797342499751,"Lrp4/Vim/Apoe/Fgfr3/Egfr/Mest/Olig2/Id1/Rnf112/Mt3/Hmgb2l1",11
"GO:0050678","regulation of epithelial cell proliferation","8/59","247/10689",0.0323886639676113,5.86783778219996,5.76634105492093,5.81349745819091e-05,0.0235728158953694,0.0235728158953694,"Zfp36l1/Ccnd1/Apoe/Fgfr3/Egfr/Id1/Hmgb2l1/Uhrf1",8
"GO:0007059","chromosome segregation","9/59","323/10689",0.0278637770897833,5.04806632733379,5.50365085294802,6.23619468131464e-05,0.0235728158953694,0.0235728158953694,"Kif11/Smc4/Racgap1/Kif22/Sgo2/Zwilch/Uhrf1/Mybl2/Bub1b",9
"GO:0010043","response to zinc ion","4/59","44/10689",0.0909090909090909,16.4699537750385,7.66037653852716,9.63904538611475e-05,0.0318811426145745,0.0318811426145745,"Vim/Mt2/Apoe/Mt3",4
