"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"GO:0098813","nuclear chromosome segregation",240,-0.570116724037478,-2.72759403700877,1e-10,2.35454545454545e-08,1.30014820769218e-08,1219,"tags=35%, list=10%, signal=32%","Ncapd2/Septin1/Haspin/Spc25/Rad21/Arhgef10/Zcwpw1/Cdc42/Rrs1/Hecw2/Espl1/Rcc2/Stag2/Fbxo5/Kif23/Dcaf13/Drg1/Kif14/Cul3/Aspm/Trip13/Top2a/Spdl1/Vps4b/Bccip/Birc5/Pttg1/Ndc1/Cdc6/Kif18b/Sgo1/Ncaph/Syde1/Spc24/Spag5/Kif2c/Cenpf/Chek2/Fancd2/Sack1d/Ckap2l/Ccne1/Knstrn/Kif18a/Ska1/Phf13/Tacc3/Mad2l1/Bub1/Cdca8/Ccnb1/Ncapg/Cdt1/Kif4a/Rcc1/Mastl/Aurka/Incenp/Plk1/Smc2/Ttk/Ccne2/Tpx2/Kif15/Ska3/Cenpi/Nuf2/Cdc20/Prc1/Ndc80/Knl1/Ube2c/Aurkb/Cdk1/Nusap1/Ect2/Zwilch/Kif22/Kif11/Bub1b/Sgo2/Racgap1/Smc4/Mybl2/Uhrf1",NA,"suppressed"
"GO:0000070","mitotic sister chromatid segregation",163,-0.60017708753057,-2.68821236254615,1e-10,2.35454545454545e-08,1.30014820769218e-08,1327,"tags=37%, list=11%, signal=34%","Rhoa/Prickle1/Ncapd2/Haspin/Rad21/Arhgef10/Rrs1/Espl1/Stag2/Fbxo5/Kif23/Drg1/Kif14/Cul3/Trip13/Spdl1/Vps4b/Bccip/Birc5/Kif18b/Ncaph/Spag5/Kif2c/Chek2/Ckap2l/Knstrn/Kif18a/Ska1/Phf13/Mad2l1/Bub1/Cdca8/Ccnb1/Ncapg/Cdt1/Kif4a/Rcc1/Plk1/Smc2/Ttk/Tpx2/Kif15/Ska3/Cenpi/Nuf2/Cdc20/Prc1/Ndc80/Knl1/Ube2c/Aurkb/Cdk1/Nusap1/Zwilch/Kif22/Kif11/Bub1b/Racgap1/Smc4/Mybl2/Uhrf1",NA,"suppressed"
"GO:0000819","sister chromatid segregation",177,-0.588949938737106,-2.67947002816988,1e-10,2.35454545454545e-08,1.30014820769218e-08,1327,"tags=37%, list=11%, signal=33%","Rhoa/Prickle1/Ncapd2/Haspin/Rad21/Arhgef10/Rrs1/Hecw2/Espl1/Stag2/Fbxo5/Kif23/Drg1/Kif14/Cul3/Trip13/Top2a/Spdl1/Vps4b/Bccip/Birc5/Cdc6/Kif18b/Ncaph/Spag5/Kif2c/Chek2/Ckap2l/Knstrn/Kif18a/Ska1/Phf13/Tacc3/Mad2l1/Bub1/Cdca8/Ccnb1/Ncapg/Cdt1/Kif4a/Rcc1/Plk1/Smc2/Ttk/Tpx2/Kif15/Ska3/Cenpi/Nuf2/Cdc20/Prc1/Ndc80/Knl1/Ube2c/Aurkb/Cdk1/Nusap1/Zwilch/Kif22/Kif11/Bub1b/Racgap1/Smc4/Mybl2/Uhrf1",NA,"suppressed"
"GO:0007059","chromosome segregation",330,-0.542099103323626,-2.67081898131721,1e-10,2.35454545454545e-08,1.30014820769218e-08,1450,"tags=35%, list=12%, signal=32%","Smc6/Msh5/Ska2l1/Mki67/Ik/Rhoa/Prickle1/Ncapd2/Septin1/Haspin/Spc25/Rad21/Arhgef10/Zcwpw1/Cdc42/Chtf18/Rrs1/Hecw2/Espl1/Rcc2/Stag2/Fbxo5/Haus6/Kif23/Dcaf13/Drg1/Haus1/Kif14/Esco2/Cul3/Aspm/Trip13/Pmf1/Top2a/Spdl1/Vps4b/Bccip/Haus4/Birc5/Pttg1/Ndc1/Cdc6/Kif18b/Sgo1/Ncaph/Syde1/Tubgcp3/Cenpn/Tubb4b/Nup37/Nek2l1/Hjurp/Spc24/Spag5/Kif2c/Cenpf/Chek2/Fancd2/Sack1d/Cenpw/Ckap2l/Ccne1/Knstrn/Cenpt/Kif18a/Ska1/Dsn1/Phf13/Mis18a/Tlk1/Tacc3/Mad2l1/Bub1/Cdca8/Slc25a5/Ccnb1/Gpsm2/Ncapg/Cdt1/Kif4a/Rcc1/Mastl/Cdca2/Aurka/Incenp/Plk1/Smc2/Dlgap5/Ttk/Ccne2/Tpx2/Kif15/Nde1/Ska3/Cenpi/Nuf2/Cdc20/Cenph/Prc1/Ndc80/Knl1/Ube2c/Aurkb/Cdk1/Nusap1/Ect2/Zwilch/Kif22/Kif11/Bub1b/Sgo2/Racgap1/Smc4/Mybl2/Uhrf1",NA,"suppressed"
"GO:0045839","negative regulation of mitotic nuclear division",43,-0.715738911565884,-2.59873593498852,9.37637205581015e-10,1.61898690830322e-07,8.93982710354549e-08,1539,"tags=51%, list=13%, signal=45%","Cenpe/Ik/Haspin/Rad21/Fbxo5/Trip13/Spdl1/Birc5/Ska1/Mad2l1/Bub1/Ccnb1/Plk1/Ttk/Ska3/Bmp7/Ndc80/Mtbp/Knl1/Zwilch/Bub1b/Fgfr3",0.788186810800237,"suppressed"
"GO:0140014","mitotic nuclear division",228,-0.549082295128517,-2.5818496363565,1e-10,2.35454545454545e-08,1.30014820769218e-08,1400,"tags=33%, list=12%, signal=30%","Mki67/Ik/Rhoa/Prickle1/Ncapd2/Haspin/Rad21/Arhgef10/Cdc42/Rrs1/Rpl24/Reep3/Espl1/Cdc14a/Stag2/Fbxo5/Kif23/Drg1/Kif14/Cul3/Nfia/Trip13/Spdl1/Vps4b/Bccip/Birc5/Kif18b/Ncaph/Spag5/Kif2c/Chek2/Ckap2l/Knstrn/Obsl1/Kif18a/Ska1/Phf13/Mad2l1/Bub1/Cdca8/Ccnb1/Ncapg/Cdt1/Kif4a/Rcc1/Cdca2/Aurka/Plk1/Smc2/Ccdc8/Ttk/Tpx2/Kif15/Nde1/Ska3/Cenpi/Bmp7/Nuf2/Cdc20/Prc1/Ndc80/Mtbp/Knl1/Ube2c/Aurkb/Cdk1/Nusap1/Zwilch/Kif22/Kif11/Bub1b/Racgap1/Fgfr3/Smc4/Mybl2/Uhrf1",NA,"suppressed"
"GO:0006270","DNA replication initiation",28,-0.790395636416163,-2.55571838624081,2.20269748527072e-09,2.98450794329527e-07,1.64800498789585e-07,751,"tags=57%, list=6%, signal=54%","Orc5/Topbp1/Prim2/Mcm7/Cdc6/Ticrr/Ccne1/Orc1/Cdt1/Gmnn/Mcm2/Ccne2/Cdk2/Mcm3/Mcm5/Mcm10",0.774939030136436,"suppressed"
"GO:0051784","negative regulation of nuclear division",46,-0.701775573632294,-2.53236063905055,2.05261288363331e-09,2.98450794329527e-07,1.64800498789585e-07,1539,"tags=48%, list=13%, signal=42%","Cenpe/Ik/Haspin/Rad21/Fbxo5/Trip13/Spdl1/Birc5/Ska1/Mad2l1/Bub1/Ccnb1/Plk1/Ttk/Ska3/Bmp7/Ndc80/Mtbp/Knl1/Zwilch/Bub1b/Fgfr3",0.774939030136436,"suppressed"
"GO:0090068","positive regulation of cell cycle process",219,-0.539493749581405,-2.52549586937201,1e-10,2.35454545454545e-08,1.30014820769218e-08,1358,"tags=33%, list=11%, signal=30%","Camk2d/Rhoa/Mdm2/Larp7/Ddr2/Ncapd2/Prmt6/Rad21/Cdc42/Cdc73/Prkar2a/Rdx/Cdc14a/Rcc2/Fbxo5/Kif23/Fen1/Kif14/Cul3/Vps4b/Cdk7/Birc5/Kif20b/Cdc6/E2f7/Ncaph/Spag5/Stxbp4/Chek2/Sack1d/Rad51c/Ccne1/Rad51b/Orc1/Ska1/Mad2l1/Bub1/Npm1/Ccnb1/Rad51ap1/Gpsm2/Ncapg/Rcc1/Mastl/Aurka/Plk1/Smc2/Stil/Dtl/Ccne2/Cdk2/Ska3/Cdc20/Plk4/Rrm1/Rrm2/E2f8/Anp32b/Ndc80/Mtbp/Knl1/Ube2c/Aurkb/Gja1/Cdk1/Nusap1/Ect2/Egfr/Sgo2/Racgap1/Smc4/Ccnd1",NA,"suppressed"
"GO:0051983","regulation of chromosome segregation",89,-0.601066363518612,-2.51246122352317,1e-10,2.35454545454545e-08,1.30014820769218e-08,1539,"tags=40%, list=13%, signal=36%","Cenpe/Smc6/Ik/Ncapd2/Haspin/Rad21/Chtf18/Hecw2/Rcc2/Fbxo5/Cul3/Trip13/Spdl1/Birc5/Cdc6/Ncaph/Kif2c/Ska1/Tacc3/Mad2l1/Bub1/Ccnb1/Ncapg/Plk1/Smc2/Ttk/Ska3/Cdc20/Ndc80/Knl1/Ube2c/Aurkb/Cdk1/Zwilch/Bub1b/Smc4",NA,"suppressed"
