"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"rno04110","Cell cycle",142,-0.605437396158924,-2.69984597156281,1e-10,1.705e-08,1.18951055644237e-08,2196,"tags=46%, list=18%, signal=38%","Gadd45g/Cdk4/Cdk6/Bub3/Anapc15/Hdac1l/Skp1/Stag1/Ccnh/Dbf4/Anapc7/Ywhaz/E2f3/Mcm4/E2f5/Ywhaq/Mdm2/Ppp2r5a/Rad21/Ccna1/Cdkn2c/Espl1/Cdc14a/Stag2/Fbxo5/Orc5/Pkmyt1/Esco2/Trip13/Cdk7/Pttg1/Mcm7/Cdc6/Sgo1/Esco1/Ticrr/Wee1/Skp2/Chek2/Smad3/Ccne1/Orc1/Mad2l1/Bub1/Ccnb1/Tgfb2/Cdt1/Plk1/Mcm2/Ttk/Ccne2/Mcm6/Cdk2/Rbl1/Cdc20/Ndc80/Mtbp/Knl1/Aurkb/Mcm3/Cdk1/Mcm5/Ccna2/Pcna/Bub1b/Ccnd1",NA,"suppressed"
"rno03030","DNA replication",33,-0.782915163857353,-2.56539700437073,1e-10,1.705e-08,1.18951055644237e-08,1420,"tags=70%, list=12%, signal=62%","Lig1/Pole2/Rpa2/Rfc2/Rfc5/Pold2/Rnaseh2b/LOC134479640/Pole/Rnaseh2c/Fen1/Rfc4/Prim2/Mcm7/Rfc3/Pold1/Rpa1/Rpa3/Mcm2/Mcm6/Mcm3/Mcm5/Pcna",NA,"suppressed"
"rno03410","Base excision repair",42,-0.627921465465828,-2.24927842104394,5.16577340171151e-06,0.000381169688988732,0.000265926902550119,1420,"tags=38%, list=12%, signal=34%","Lig1/Pole2/Ogg1/Rfc2/Hmgb1/Rfc5/Pold2/Pole/Hmgb1l1/Fen1/Rfc4/Rfc3/Pold1/Neil1/Ung/Pcna",0.610526878385931,"suppressed"
"rno03430","Mismatch repair",21,-0.744409024675928,-2.24880000173896,8.98857535604103e-06,0.00043787202805857,0.000305485864953959,1420,"tags=57%, list=12%, signal=51%","Lig1/Rpa2/Rfc2/Rfc5/Pold2/Rfc4/Rfc3/Pold1/Exo1/Rpa1/Rpa3/Pcna",0.593325476396405,"suppressed"
"rno05150","Staphylococcus aureus infection",20,0.740871847794953,2.2068370921782,1.67181156366282e-05,0.000712609679011277,0.000497159375839839,1921,"tags=65%, list=16%, signal=55%","C3/Itgal/Cfh/C3ar1/Icam1/Itgam/Itgb2/C2/C1qa/Ptafr/C1qc/RT1-DOb/C1qb",0.575610261071129,"activated"
"rno03420","Nucleotide excision repair",53,-0.556327369523934,-2.08733049831372,4.10403743008705e-05,0.00155497418184409,0.00108484352158293,2091,"tags=45%, list=17%, signal=38%","Polr2b/Pold3/Ccnh/Gtf2h5/Polr2d/Gtf2h2/Polr2f/Lig1/Pole2/Xpc/Rpa2/Rfc2/Mnat1/Ercc3/Rfc5/Pold2/Pole/Rfc4/Cdk7/Rfc3/Pold1/Rpa1/Rpa3/Pcna",0.557332238758646,"suppressed"
"rno00240","Pyrimidine metabolism",44,-0.562659637399555,-2.03486963881703,0.000301300010728809,0.0056851307024846,0.00396628914097365,1466,"tags=30%, list=12%, signal=26%","Cmpk1/Hddc2/Nme7/Dctpp1/Nudt2/Dpyd/Tyms/Umps/Tk1/Dck/Dut/Rrm1/Rrm2",0.49849310876659,"suppressed"
"rno04664","Fc epsilon RI signaling pathway",47,0.558801008350297,2.02722460305877,8.56413670376491e-05,0.00244736827584006,0.00170743131942166,3247,"tags=47%, list=27%, signal=34%","Rac2/Fcer1g/Pla2g4b/Plcg1/Mapk11/Vav2/Pik3r2/Sos1/Syk/Map2k1/Raf1/Pla2g4e/Mapk14/Mapk3/Grb2/Prkca/Lcp2/Pik3ca/Sos2/Plcg2/Pik3cd/Fyn",0.538434096309916,"activated"
"rno04650","Natural killer cell mediated cytotoxicity",61,0.513964356216213,2.01268543790043,5.53739469315446e-05,0.00188825159036567,0.00131735788853904,3247,"tags=52%, list=27%, signal=39%","Itgal/Rac2/Prkcg/Fcer1g/Ptpn6/Plcg1/Icam1/Itgb2/Sh3bp2/Vav2/Pik3r2/Sos1/Pak1/Syk/Ppp3ca/Map2k1/Raf1/Shc3/Mapk3/Grb2/Prkca/Fcgr3a/Lcp2/Shc4/Pik3ca/Sos2/Plcg2/Bid/Araf/Tyrobp/Pik3cd/Fyn",0.557332238758646,"activated"
"rno03440","Homologous recombination",38,-0.581435173471549,-1.98907983511969,9.97969972790077e-05,0.00261775200554936,0.00182630125791739,1541,"tags=42%, list=13%, signal=37%","Sem1/Babam2/Rpa2/Pold2/Xrcc2/Topbp1/Brip1/Pold1/Nbn/Rad54l/Rad51c/Rad51b/Rpa1/Rpa3/Bard1/Rad51",0.538434096309916,"suppressed"
"rno04218","Cellular senescence",128,-0.452723750291271,-1.9765704330763,5.92592022050077e-06,0.000381169688988732,0.000265926902550119,2244,"tags=34%, list=19%, signal=28%","Rbbp4/Gadd45g/Cdk4/Cdk6/Ppp1ca/Mapkapk2/Ppp1cb/Capn2/Sirt1/Rela/E2f3/E2f5/Slc25a5-ps11/Pten/Mdm2/Ppp1cc/Vdac2/Ccna1/Igfbp3/Rad9a/Lin54/Nfkb1/Rbbp4l1/Zfp36l2/Ppidl1/Rras/Hipk2/Chek2/Nbn/Smad3/Ccne1/Slc25a5/Ccnb1/Tgfb2/Foxm1/Ccne2/Cdk2/Rbl1/Cdk1/Ccna2/Zfp36l1/Mybl2/Ccnd1",0.610526878385931,"suppressed"
"rno00983","Drug metabolism - other enzymes",40,-0.552736369661338,-1.93700109646032,0.000307318551873403,0.0056851307024846,0.00396628914097365,1666,"tags=32%, list=14%, signal=28%","Mgst3l1/Gsta6/Cmpk1/Nme7/Dpyd/Impdh2/Gusb/Umps/Gmps/Tk1/Dut/Rrm1/Rrm2",0.49849310876659,"suppressed"
"rno05323","Rheumatoid arthritis",41,0.546123053449426,1.93099283472531,0.00015837448242157,0.00385754989326823,0.00269125883873649,1195,"tags=32%, list=10%, signal=29%","Itgal/Il1b/Ccl3/Atp6v0a1/Vegfa/Icam1/Tlr2/Itgb2/Fos/Atp6v1c1/Tnfsf13/Tgfb3/Atp6v0a2",0.518848077743792,"activated"
"rno02010","ABC transporters",33,0.56980632679424,1.90876825534718,0.000465003238946058,0.00792830522403029,0.00553126261506232,1200,"tags=39%, list=10%, signal=36%","Abca7/Abcc5/Abcc10/Abcc1/Abca3/Abca2/Abcb10/Abcc8/Abca8a/Abca5/Abcb6/Abcg1/Abcg4",0.49849310876659,"activated"
"rno00260","Glycine, serine and threonine metabolism",29,-0.584441557287599,-1.8538712502254,0.000999730433503223,0.0148220903402,0.0103407817760765,2218,"tags=41%, list=18%, signal=34%","Gldc/Gatm/Grhpr/Maoa/Dmgdh/Cth/Sardh/Shmt1/Gcsh/Psat1/Aldh7a1/Phgdh",0.45505986738723,"suppressed"
"rno01232","Nucleotide metabolism",66,-0.474174343191168,-1.84990848085727,0.000316766813334919,0.0056851307024846,0.00396628914097365,1749,"tags=24%, list=14%, signal=21%","Adk/Ak1/Cmpk1/Hddc2/Nme7/Dctpp1/Impdh2/Tyms/Gmps/Tk1/Dck/Dut/Rrm1/Rrm2/Ak2/Pnp",0.49849310876659,"suppressed"
"rno05133","Pertussis",44,0.5011540042686,1.82387277968119,0.00180496246226198,0.0227960073937532,0.0159038659469841,1922,"tags=32%, list=16%, signal=27%","C3/Il1b/Mapk11/Irf3/Itgam/Itgb2/C2/C1qa/Fos/Irf8/C1qc/Mapk14/C1qb/Mapk3",0.45505986738723,"activated"
"rno04517","IgSF CAM signaling",231,0.37934689833914,1.81416841063142,2.95422782528149e-06,0.000335797229473663,0.000234272345620542,2502,"tags=39%, list=21%, signal=32%","Itgal/L1cam/Prkcg/Unc5a/Cntn2/Cntnap1/Cntnap2/Slit1/Myh10/Plxna2/Ptpn6/Ptprs/Plcg1/Nlgn2/Mpp3/Mapk11/Plxna3/Plxna1/Dcc/Caskin1/Icam1/Itgam/Bcar1/Sptbn1/Srgap2/Srgap3/Nrp2/Itgb2/Sptan1/Ptprd/Cxadr/Git1/Vav2/Ppfia3/Nfasc/Epb41l1/Tubb3/Pak2/Nectin2/Lrrtm4/Pik3r2/Nrp1/Robo1/Grip2/Nrcam/Mbp/Cdh2/Unc5d/Mylk/Sptbn4/Magi2/Myh11/Pak1/Slit2/Ncam1/Mpdz/Clmp/Trio/Epb41l3/Pxn/Cask/Kcnq2/Map2k1/Nlgn1/Kirrel3/Cadm4/Mtss1/Lrrc4b/Mapk14/Actn4/Ppfia2/Sptbn2/Ezr/Mapk3/Grb2/Prkca/Ntrk3/Robo2/Iqgap1/Abl1/Map2/Rapgef2/Lrfn4/Ptprf/Wasl/Tubb4a/Nlgn3/Srgap1/Src/Actg1/Lcp2",0.627256739718528,"activated"
"rno00620","Pyruvate metabolism",36,-0.537868406217528,-1.81141638186174,0.00105039197219707,0.0149243192716334,0.0104121028277562,2899,"tags=56%, list=24%, signal=42%","Acat2/Acyp1/Acat1/Pkml1/Ldha/Aldh1b1/Acyp2/Grhpr/Adh4/Me1/Ldhb/Ldhd/Pdha1/Pdhb/Aldh9a1/Fh/Glo1/Aldh7a1/Me2/Acss1",0.45505986738723,"suppressed"
"rno04115","p53 signaling pathway",60,-0.478950485314175,-1.81075442293674,0.00054767563370051,0.0084889723223579,0.0059224177072093,2196,"tags=33%, list=18%, signal=27%","Gadd45g/Cdk4/Cdk6/Ccng1/Gorab/Aifm2/Pten/Mdm2/Bax/Igfbp3/Siva1/Chek2/Ccne1/Gtse1/Ccnb1/Ccne2/Cdk2/Rrm2/Cdk1/Ccnd1",0.477270815362862,"suppressed"
"rno04142","Lysosome biogenesis",211,0.384359297847964,1.78864662509049,6.70679804672256e-06,0.000381169688988732,0.000265926902550119,2625,"tags=33%, list=22%, signal=26%","Gga3/Atp6v0a1/Arsa/Ctss/Slc11a1/Dmxl2/Osbpl7/Cltc/Ap1g2/Laptm5/Ap2b1/Acp2/Igf2r/Vps16/Man2b1/Pikfyve/Tlr7/Gga2/Borcs5/Ap5z1/Ap3b2/Ap3b1/Abca2/Lamtor1l1/Atp6v1c1/Vps13c/Spg11/Vps18/Slc15a3/Idua/Abca5/Ctsz/Tfe3/Gga1/Atp6v0a2/Gpr155/Ap5b1/Slc11a2/Lgmn/Ap3d1/Ctsl/Vps11/Rptor/Tpcn1/Gns/Sort1/Tlr3/Glb1/Dtnbp1/Fig4/Mtor/Slc15a4/Ap5m1/Tlr9/Wdr7/Vps13a/Plekhm1/Bloc1s6/Mfsd8/Ids/Npc2/Gba1/Acp5/Cln3/Clcn7/Tmem175/Osbpl5/Ap2a1/Rab7a/Vps39",0.610526878385931,"activated"
"rno04370","VEGF signaling pathway",43,0.492583069584871,1.77831821236746,0.00154795328629288,0.0211140828250349,0.0147304541994004,2011,"tags=35%, list=17%, signal=29%","Rac2/Prkcg/Pla2g4b/Vegfa/Plcg1/Mapk11/Pik3r2/Pxn/Ppp3ca/Map2k1/Raf1/Pla2g4e/Mapk14/Mapk3/Prkca",0.45505986738723,"activated"
"rno04340","Hedgehog signaling pathway",43,-0.490640277818138,-1.75203996051145,0.00273675237411912,0.0291635174867068,0.0203462239961464,1778,"tags=26%, list=15%, signal=22%","Arrb1/Spopl/Prkaca/Csnk1g1/Cul3/Evc2/Evc/Gli3/Smo/Cdon/Ccnd1",0.431707695803346,"suppressed"
"rno04613","Neutrophil extracellular trap formation",86,0.422826163448632,1.73452837097295,0.000494067577498739,0.00802271637747952,0.00559712951457772,522,"tags=17%, list=4%, signal=17%","C3/Ncf1/Itgal/Rac2/Prkcg/Hdac6/Hdac10/Plcg1/Mapk11/Hdac7/Itgam/Hdac5/Tlr2/Tlr7/Itgb2",0.477270815362862,"activated"
"rno04360","Axon guidance",164,0.378921996505636,1.72184231339125,8.61243968037559e-05,0.00244736827584006,0.00170743131942166,2922,"tags=40%, list=24%, signal=31%","Rac2/L1cam/Unc5a/Sema6c/Slit1/Plxna2/Plcg1/Plxna3/Ephb2/Plxna1/Dcc/Sema6b/Srgap2/Cdk5/Srgap3/Dpysl5/Dpysl2/Sema4g/Rock1/Sema3f/Pak2/Pik3r2/Efna3/Nrp1/Robo1/Epha4/Epha7/Sema4a/Unc5d/Ephb1/Plxnb2/Limk1/Pak1/Slit2/Sema4c/Ntng2/Limk2/Lrig2/Ppp3ca/Raf1/Efna2/Bmpr2/Met/Ephb6/Epha3/Mapk3/Epha5/Prkca/Sema4f/Camk2g/Robo2/Neo1/Abl1/Wnt5a/Ssh1/Srgap1/Src/Epha8/Camk2b/Pik3ca/Nck2/Sema4b/Plcg2/Ssh2/Rock2/Sema7a",0.538434096309916,"activated"
"rno05140","Leishmaniasis",46,0.487966218030729,1.72113371830348,0.0022562676969989,0.0248189446669879,0.0173151886692911,1090,"tags=22%, list=9%, signal=20%","C3/Ncf1/Il1b/Ptpn6/Mapk11/Itgam/Tlr2/Itgb2/Fos/Tgfb3",0.431707695803346,"activated"
"rno00640","Propanoate metabolism",26,-0.545756916233618,-1.71520802489815,0.00697235261421169,0.0540357327601406,0.0376985774447427,2554,"tags=54%, list=21%, signal=43%","Mcee/Pcca/Pccb/Ldha/Dbt/Bckdhb/Ldhb/Echdc1/Abat/Mlycd/Sucla2/Aldh6a1/Acss1/Suclg2",0.407017918923954,"suppressed"
"rno05215","Prostate cancer",86,-0.416235973290041,-1.70030925722202,0.00162858489791447,0.0213595173149552,0.014901684062553,2517,"tags=33%, list=21%, signal=26%","Hsp90ab1/Lef1/Creb3l2/Pdgfra/Tcf7/Tcf7l1/Ctnnb1/Nfkbia/Pdgfd/Rela/E2f3/Folh1/Pten/Mdm2/Plat/Pdgfc/Ikbkg/Nfkb1/Etv5/Tcf7l2/Erbb2/Ccne1/Creb5/Ccne2/Cdk2/Zeb1/Egfr/Ccnd1",0.45505986738723,"suppressed"
"rno04721","Synaptic vesicle cycle",57,0.44742578478701,1.69177734144054,0.0038221306342846,0.0355081353201777,0.0247726110281148,2772,"tags=46%, list=23%, signal=35%","Atp6v0a1/Cltc/Cacna1b/Stx2/Ap2b1/Unc13a/Slc17a7/Cacna1a/Dnm2/Atp6v1c1/Rab3a/Slc1a6/Unc13b/Stx3/Atp6v0a2/Stx1b/Stxbp1/Nsf/Cplx3/Slc6a9/Stx1a/Snap25/Slc1a1/Dnm1/Ap2a1/Slc6a7",0.431707695803346,"activated"
"rno00565","Ether lipid metabolism",29,0.517005751990163,1.67627314088138,0.00860445727631179,0.0624280836430281,0.0435535862239586,2063,"tags=45%, list=17%, signal=37%","Selenoi/Pla2g4b/Pla2g7/Pafah1b3/Pld3/Lpcat1/Pla2g12a/Cept1/Tmem86a/Pafah2/Pla2g4e/Lpcat2b/Pla2g6",0.380730400722792,"activated"
"rno04114","Oocyte meiosis",95,-0.401657911125888,-1.66309572651231,0.00222844284203041,0.0248189446669879,0.0173151886692911,2008,"tags=28%, list=17%, signal=24%","Anapc15/Ppp1cb/Skp1/Anapc7/Ywhaz/Adcy2/Ywhaq/Camk2d/Prkaca/Ppp1cc/Ppp2r5a/Espl1/Fbxo5/Pkmyt1/Slk/Pttg1/Sgo1/Ccne1/Mad2l1/Bub1/Ccnb1/Aurka/Plk1/Ccne2/Cdk2/Cdc20/Cdk1",0.431707695803346,"suppressed"
"rno04666","Fc gamma R-mediated phagosome formation",81,0.408476145593906,1.6594146650277,0.00197025437625649,0.0239948836536951,0.0167402741388134,2063,"tags=35%, list=17%, signal=29%","Ncf1/Rac2/Prkcg/Pla2g4b/Ptprc/Plcg1/Rps6kb2/Dnm2/Hck/Vav2/Pik3r2/Bin1/Vasp/Pip5k1c/Limk1/Wasf3/Pak1/Syk/Limk2/Asap2/Pip5k1a/Map2k1/Raf1/Prkce/Pla2g4e/Mapk3/Prkca/Pla2g6",0.431707695803346,"activated"
"rno04270","Vascular smooth muscle contraction",80,0.410420072543873,1.65702545732006,0.00311891185784081,0.0312808512801093,0.0218234034089114,2063,"tags=31%, list=17%, signal=26%","Prkcg/Acta2/Pla2g4b/Myh10/Arhgef11/Arhgef1/Npr2/Ppp1r12c/Itpr1/Rock1/Adcy6/Cacna1c/Adcy5/Mylk/Myh11/Pla2g12a/Map2k1/Cacna1d/Raf1/Ppp1r12b/Prkce/Pla2g4e/Mapk3/Prkca/Pla2g6",0.431707695803346,"activated"
"rno04820","Cytoskeleton in muscle cells",159,-0.370409458827291,-1.65076251752986,0.000278363636583451,0.0056851307024846,0.00396628914097365,1025,"tags=18%, list=8%, signal=16%","Plec/Fbln2/Col5a3/Fhl3/Zyx/Lama2/Sntb1/Sdc2/Nid2/Fbln1/Lbr/Thbs4/Tln1/Itgb1/Daam2/Itgb8/Eno1/Col4a5/Itga9/Lmnb1/Atp1a2/Tpm4/Itgav/Csrp1/Pdlim5/Itgb5/Vim/Nid1",0.49849310876659,"suppressed"
"rno00564","Glycerophospholipid metabolism",77,0.412271970431893,1.64347988683942,0.00286457724045469,0.0296006314846984,0.0206511810137298,2769,"tags=38%, list=23%, signal=29%","Selenoi/Pla2g4b/Dgkq/Pld3/Agpat3/Tafazzin/Agpat4/Lpcat1/Pla2g12a/Mboat7/Agpat1/Cept1/Pcyt2/Pgs1/Gdpd5/Dgka/Plpp4/Pla2g4e/Lpcat2b/Pla2g6/Lpgat1/Pnpla6/Etnk1/Pisd/Dgkd/Gpd1/Gpam/Pld4/Dgkz",0.431707695803346,"activated"
"rno05219","Bladder cancer",34,-0.487959773346589,-1.63674568668451,0.00885981747689622,0.0627229533614743,0.04375930507608,474,"tags=15%, list=4%, signal=14%","Erbb2/Mmp2/Egfr/Fgfr3/Ccnd1",0.380730400722792,"suppressed"
"rno04512","ECM-receptor interaction",66,-0.41647047314681,-1.62478689824497,0.00504717865116852,0.0419917774876401,0.0292959897978458,806,"tags=17%, list=7%, signal=16%","Lama2/Thbs4/Itgb1/Lamb2/Itgb8/Col4a5/Itga9/Hmmr/Itgav/Itgb5/Tnc",0.407017918923954,"suppressed"
"rno00330","Arginine and proline metabolism",34,-0.483358059025599,-1.62131032402217,0.00941645028854629,0.0629609715371429,0.0439253608723163,2740,"tags=44%, list=23%, signal=34%","Cndp2/Pycr1/Aldh1b1/Gatm/Lap3/Hoga1/Maoa/Got2/Smsl1/Odc1/Arg1/Aldh9a1/Prodh1/Ckb/Aldh7a1",0.380730400722792,"suppressed"
"rno05152","Tuberculosis",104,0.381285445669679,1.60256700831146,0.00214165511903223,0.0248189446669879,0.0173151886692911,2900,"tags=37%, list=24%, signal=28%","C3/Il1b/Atp6v0a1/Fcer1g/Ctss/Mapk11/Itgam/Tlr2/Rfx5/Ksr1/Itgb2/Tgfb3/Il10ra/Ripk2/Atp6v0a2/Syk/Ppp3ca/Raf1/RT1-DOb/Mapk14/Mrc1/Mapk3/Tradd/Camk2g/Tlr9/Nfya/Jak1/Cd14/Crebbp/Fcgr3a/Nfyc/Il23a/Src/Rab7a/Camk2b/Irak4/Bid/Atp6ap1",0.431707695803346,"activated"
"rno04010","MAPK signaling pathway",232,0.33583359420815,1.59442174375883,0.000274779000326692,0.0056851307024846,0.00396628914097365,2303,"tags=29%, list=19%, signal=24%","Csf1r/Il1b/Rac2/Prkcg/Cacng8/Mapk8ip3/Pla2g4b/Cacna1h/Map3k12/Cacnb3/Vegfa/Cacna1b/Mapk11/Cacnb1/Map4k3/Cacna1a/Daxx/Cacna2d1/Mapk8ip2/Ptpn5/Dusp6/Cacna1c/Rasgrf1/Atf4/Fos/Map3k10/Pak2/Efna3/Map3k9/Cacna2d2/Nr4a1/Map3k13/Tgfb3/Sos1/Taok2/Pak1/Mras/Tgfbr2/Insr/Ppp3ca/Map2k1/Cacna1d/Raf1/Efna2/Rasa2/Pla2g4e/Met/Mapk14/Fgf18/Ret/Mapk3/Kit/Dusp8/Tradd/Taok3/Map4k2/Grb2/Ptprr/Prkca/Rps6ka5/Mapk8ip1/Erbb3/Cacnb4/Srf/Rapgef2/Cd14/Ngfr/Map2k5",0.49849310876659,"activated"
"rno04640","Hematopoietic cell lineage",31,0.462267005480429,1.58070041206436,0.0330325185055023,0.152217416356436,0.106196025589657,3285,"tags=45%, list=27%, signal=33%","Csf1r/Il1b/Tfrc/Itgam/Itga3/Csf2ra/Cd59b/RT1-DOb/Kit/Cd14/Il11/Itga6/Gp5/Il3ra",0.321775918075361,"activated"
"rno05222","Small cell lung cancer",77,-0.398731961056573,-1.56273670546045,0.00496809390086369,0.0419917774876401,0.0292959897978458,2196,"tags=31%, list=18%, signal=26%","Gadd45g/Cdk4/Cdk6/Rxrg/Nfkbia/Rela/E2f3/Pten/Lama1/Bax/Traf2/Ikbkg/Polk/Nfkb1/Lama2/Itgb1/Skp2/Ccne1/Lamb2/Col4a5/Ccne2/Cdk2/Itgav/Ccnd1",0.407017918923954,"suppressed"
"rno01200","Carbon metabolism",94,-0.377942982520993,-1.54925950616769,0.00527624339713545,0.0428380713910283,0.0298864153297714,1823,"tags=24%, list=15%, signal=21%","Tkfc/Me1/Got2/Pdha1/Pdhb/Rpia/Tpi1l1/Sucla2/Fh/Idh2/Glud1/Aldh6a1/Sdhd/Shmt1/Gcsh/Adpgk/Eno1/Psat1/Me2/Prps2/Acss1/Suclg2/Phgdh",0.407017918923954,"suppressed"
"rno05134","Legionellosis",36,0.446735991923228,1.54093690677939,0.0233087385194741,0.122618433376049,0.0855459946716925,522,"tags=14%, list=4%, signal=13%","C3/Il1b/Itgam/Tlr2/Itgb2",0.352487857583619,"activated"
