"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","rno05219","Bladder cancer","3/29","34/5339",0.0882352941176471,16.2444219066937,6.58944363412133,0.000770119655549433,0.120680384589317,0.120680384589317,"Egfr/Ccnd1/Fgfr3",3
"Human Diseases","Cancer: overview","rno05206","MicroRNAs in cancer","5/29","140/5339",0.0357142857142857,6.57512315270936,4.93968889375761,0.000825084691055319,0.120680384589317,0.120680384589317,"Tnc/Vim/Egfr/Ccnd1/Fgfr3",5
"Cellular Processes","Cell motility","rno04820","Cytoskeleton in muscle cells","5/29","149/5339",0.0335570469798658,6.17796806294839,4.7370704742165,0.00109377992074909,0.120680384589317,0.120680384589317,"Vim/Itgb5/Pdlim5/Nid1/Csrp1",5
"Environmental Information Processing","Signaling molecules and interaction","rno04518","Integrin signaling","4/29","115/5339",0.0347826086956522,6.40359820089955,4.32883874026304,0.00320077285725502,0.264863953937853,0.264863953937853,"Tnc/Itgb5/Egfr/Ccnd1",4
"Environmental Information Processing","Signal transduction","rno04151","PI3K-Akt signaling pathway","5/29","236/5339",0.0211864406779661,3.90049678550555,3.36788015564567,0.00804401466662309,0.467801238727161,0.467801238727161,"Tnc/Itgb5/Egfr/Ccnd1/Fgfr3",5
"Human Diseases","Cancer: overview","rno05205","Proteoglycans in cancer","4/29","152/5339",0.0263157894736842,4.8448275862069,3.55370654869071,0.00861420379753216,0.467801238727161,0.467801238727161,"Itgb5/Msn/Egfr/Ccnd1",4
"Environmental Information Processing","Signal transduction","rno04350","TGF-beta signaling pathway","3/29","83/5339",0.036144578313253,6.65434150394682,3.83649313996206,0.00989307755616352,0.467801238727161,0.467801238727161,"Nbl1/Id1/Id3",3
"Cellular Processes","Cellular community - eukaryotes","rno04510","Focal adhesion","4/29","166/5339",0.0240963855421687,4.43622766929788,3.32357710424429,0.0116671895322163,0.472297453220484,0.472297453220484,"Tnc/Itgb5/Egfr/Ccnd1",4
"Cellular Processes","Cell motility","rno04810","Regulation of actin cytoskeleton","4/29","171/5339",0.0233918128654971,4.30651340996169,3.24749218189902,0.0129078214960434,0.472297453220484,0.472297453220484,"Itgb5/Msn/Egfr/Fgfr3",4
"Cellular Processes","Cellular community - eukaryotes","rno04550","Signaling pathways regulating pluripotency of stem cells","3/29","95/5339",0.0315789473684211,5.81379310344828,3.49831493898154,0.0142688052332472,0.472297453220484,0.472297453220484,"Fgfr3/Id1/Id3",3
