"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","rno04613","Neutrophil extracellular trap formation","3/6","85/5339",0.0352941176470588,31.4058823529412,9.47766071280672,7.52621440639191e-05,0.0249117696851572,0.0249117696851572,"C3/Ncf1/Itgal",3
"Human Diseases","Infectious disease: bacterial","rno05150","Staphylococcus aureus infection","2/6","19/5339",0.105263157894737,93.6666666666667,13.5713685205501,0.000178478818735434,0.0295382445007143,0.0295382445007143,"C3/Itgal",2
"Human Diseases","Infectious disease: parasitic","rno05140","Leishmaniasis","2/6","44/5339",0.0454545454545455,40.4469696969697,8.81223602265645,0.000975086479526824,0.10758454157446,0.10758454157446,"C3/Ncf1",2
"Organismal Systems","Immune system","rno04670","Leukocyte transendothelial migration","2/6","75/5339",0.0266666666666667,23.7288888888889,6.64859708804717,0.00281615466186399,0.233036798269245,0.233036798269245,"Ncf1/Itgal",2
"Environmental Information Processing","Signaling molecules and interaction","rno04518","Integrin signaling","2/6","115/5339",0.0173913043478261,15.4753623188406,5.26327300118585,0.00651961109611765,0.431598254562988,0.431598254562988,"C3/Itgal",2
"Cellular Processes","Transport and catabolism","rno04145","Phagocytosis","2/6","153/5339",0.0130718954248366,11.6318082788671,4.47523364138613,0.0113454538347834,0.625890869885552,0.625890869885552,"C3/Ncf1",2
"Human Diseases","Infectious disease: parasitic","rno05144","Malaria","1/6","23/5339",0.0434782608695652,38.6884057971014,6.07516835111197,0.0255826105921452,1,1,"Itgal",1
"Organismal Systems","Digestive system","rno04979","Cholesterol metabolism","1/6","27/5339",0.037037037037037,32.9567901234568,5.58335339867758,0.0299755816002373,1,1,"Apoe",1
"Human Diseases","Immune disease","rno05322","Systemic lupus erythematosus","1/6","29/5339",0.0344827586206897,30.683908045977,5.37590931457759,0.0321658703217618,1,1,"C3",1
"Organismal Systems","Immune system","rno04610","Complement and coagulation cascades","1/6","30/5339",0.0333333333333333,29.6611111111111,5.27990861176028,0.0332594682084043,1,1,"C3",1
"Human Diseases","Infectious disease: bacterial","rno05134","Legionellosis","1/6","33/5339",0.0303030303030303,26.9646464646465,5.01804878070234,0.0365340852895641,1,1,"C3",1
"Human Diseases","Immune disease","rno05323","Rheumatoid arthritis","1/6","37/5339",0.027027027027027,24.0495495495495,4.7187021054553,0.0408858583281577,1,1,"Itgal",1
"Human Diseases","Cardiovascular disease","rno05416","Viral myocarditis","1/6","38/5339",0.0263157894736842,23.4166666666667,4.65117894246812,0.0419712383451386,1,1,"Itgal",1
"Human Diseases","Infectious disease: bacterial","rno05133","Pertussis","1/6","41/5339",0.024390243902439,21.7032520325203,4.46327492050729,0.0452212389846985,1,1,"C3",1
"Organismal Systems","Immune system","rno04650","Natural killer cell mediated cytotoxicity","1/6","60/5339",0.0166666666666667,14.8305555555556,3.61342078010721,0.0655919543855886,1,1,"Itgal",1
"Human Diseases","Infectious disease: parasitic","rno05142","Chagas disease","1/6","71/5339",0.0140845070422535,12.5328638497653,3.28112347719825,0.0772190582619526,1,1,"C3",1
"Metabolism","Carbohydrate metabolism","rno00562","Inositol phosphate metabolism","1/6","72/5339",0.0138888888888889,12.3587962962963,3.25458799596285,0.0782700616124514,1,1,"Ppip5k2",1
"Environmental Information Processing","Signaling molecules and interaction","rno04514","Cell adhesion molecule (CAM) interaction","1/6","74/5339",0.0135135135135135,12.0247747747748,3.20306326153827,0.0803690758967793,1,1,"Itgal",1
"Organismal Systems","Immune system","rno04666","Fc gamma R-mediated phagosome formation","1/6","80/5339",0.0125,11.1229166666667,3.05969535966174,0.0866422339280521,1,1,"Ncf1",1
"Environmental Information Processing","Signal transduction","rno04070","Phosphatidylinositol signaling system","1/6","84/5339",0.0119047619047619,10.593253968254,2.97233902058201,0.0908044957204998,1,1,"Ppip5k2",1
"Organismal Systems","Development and regeneration","rno04380","Osteoclast differentiation","1/6","86/5339",0.0116279069767442,10.3468992248062,2.93084063063457,0.0928796916489225,1,1,"Ncf1",1
"Human Diseases","Endocrine and metabolic disease","rno04936","Alcoholic liver disease","1/6","88/5339",0.0113636363636364,10.1117424242424,2.89068573553297,0.0949509389608442,1,1,"C3",1
"Human Diseases","Cardiovascular disease","rno05418","Fluid shear stress and atherosclerosis","1/6","94/5339",0.0106382978723404,9.46631205673759,2.77756717159695,0.101141049292557,1,1,"Ncf1",1
"Human Diseases","Infectious disease: bacterial","rno05152","Tuberculosis","1/6","97/5339",0.0103092783505155,9.17353951890034,2.72474988970086,0.104222848795858,1,1,"C3",1
"Human Diseases","Infectious disease: viral","rno05168","Herpes simplex virus 1 infection","1/6","108/5339",0.00925925925925926,8.2391975308642,2.54911285375057,0.115447557620561,1,1,"C3",1
"Organismal Systems","Immune system","rno04062","Chemokine signaling pathway","1/6","117/5339",0.00854700854700855,7.60541310541311,2.42300103122069,0.124544001267594,1,1,"Ncf1",1
"Human Diseases","Infectious disease: viral","rno05167","Kaposi sarcoma-associated herpesvirus infection","1/6","125/5339",0.008,7.11866666666667,2.32169627971666,0.132564156888781,1,1,"C3",1
"Human Diseases","Cardiovascular disease","rno05417","Lipid and atherosclerosis","1/6","126/5339",0.00793650793650794,7.06216931216931,2.30966285511954,0.133562356938391,1,1,"Ncf1",1
"Environmental Information Processing","Signaling molecules and interaction","rno04080","Neuroactive ligand-receptor interaction","1/6","134/5339",0.00746268656716418,6.64054726368159,2.21790220651911,0.141513552091884,1,1,"C3",1
"Human Diseases","Cancer: overview","rno05203","Viral carcinogenesis","1/6","139/5339",0.00719424460431655,6.40167865707434,2.16428072206385,0.146452099926365,1,1,"C3",1
"Human Diseases","Infectious disease: viral","rno05169","Epstein-Barr virus infection","1/6","140/5339",0.00714285714285714,6.35595238095238,2.15387221704763,0.147436962887988,1,1,"Itgal",1
"Environmental Information Processing","Signal transduction","rno04015","Rap1 signaling pathway","1/6","157/5339",0.00636942675159236,5.66772823779193,1.99106667160584,0.164035310344989,1,1,"Itgal",1
"Human Diseases","Cardiovascular disease","rno05415","Diabetic cardiomyopathy","1/6","157/5339",0.00636942675159236,5.66772823779193,1.99106667160584,0.164035310344989,1,1,"Ncf1",1
"Human Diseases","Infectious disease: viral","rno05166","Human T-cell leukemia virus 1 infection","1/6","162/5339",0.00617283950617284,5.49279835390946,1.94766594132094,0.168865602212793,1,1,"Itgal",1
"Cellular Processes","Cell motility","rno04810","Regulation of actin cytoskeleton","1/6","171/5339",0.00584795321637427,5.2037037037037,1.8739069336934,0.17750152057403,1,1,"Itgal",1
"Human Diseases","Cancer: overview","rno05208","Chemical carcinogenesis - reactive oxygen species","1/6","174/5339",0.00574712643678161,5.1139846743295,1.8504665918521,0.18036348842595,1,1,"Ncf1",1
"Human Diseases","Infectious disease: viral","rno05171","Coronavirus disease","1/6","190/5339",0.00526315789473684,4.68333333333333,1.73394571154747,0.195487548560577,1,1,"C3",1
"Human Diseases","Neurodegenerative disease","rno05020","Prion disease","1/6","201/5339",0.00497512437810945,4.42703150912106,1.66110924105771,0.205749845262946,1,1,"Ncf1",1
"Environmental Information Processing","Signaling molecules and interaction","rno04517","IgSF CAM signaling","1/6","226/5339",0.00442477876106195,3.93731563421829,1.51337326722845,0.228668156409651,1,1,"Itgal",1
"Human Diseases","Neurodegenerative disease","rno05010","Alzheimer disease","1/6","288/5339",0.00347222222222222,3.08969907407407,1.22284222891515,0.283138815779144,1,1,"Apoe",1
