"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002252","immune effector process","45/331","345/11041",0.130434782608696,4.35084723499278,11.1162236890446,3.61695484311911e-17,1.95170883334707e-13,1.95170883334707e-13,"Il1b/Itgal/C1qa/Anxa3/Ptafr/Myo1f/Tyrobp/Tlr2/Ndst2/Cd300a/Cx3cr1/Fcer1g/Stxbp2/Cfp/Chga/Ptprc/Rac2/Nckap1l/C1qc/Mfng/Lgals3/Irf8/Cfh/Inpp5d/Lcp1/Spi1/Slc11a1/C1qb/Tnfrsf1b/C2/Mdk/Sema6d/Laptm5/Dusp10/Inava/Eomes/Tlr3/Kit/C3/Csf2rb/Ncf1/Itgb2/Ptpn6/RT1-N2/Dysf",45
"GO:0002366","leukocyte activation involved in immune response","26/331","184/11041",0.141304347826087,4.71341783790884,8.92959187548585,3.85058216661322e-11,6.92591379034831e-08,6.92591379034831e-08,"Itgal/Anxa3/Ptafr/Myo1f/Tyrobp/Cd300a/Cx3cr1/Fcer1g/Stxbp2/Chga/Ptprc/Rac2/Nckap1l/Mfng/Lgals3/Irf8/Lcp1/Spi1/Slc11a1/Mdk/Sema6d/Eomes/Kit/Itgb2/Ptpn6/Dysf",26
"GO:0002697","regulation of immune effector process","27/331","206/11041",0.131067961165049,4.37196785263837,8.58828357831074,9.37325656485427e-11,1.01156184847907e-07,1.01156184847907e-07,"Il1b/Ptafr/Tyrobp/Tlr2/Cd300a/Cx3cr1/Fcer1g/Stxbp2/Cfp/Ptprc/Rac2/Nckap1l/Lgals3/Cfh/Inpp5d/Spi1/Tnfrsf1b/Laptm5/Dusp10/Inava/Tlr3/Kit/C3/Ncf1/Itgb2/Ptpn6/RT1-N2",27
"GO:0006935","chemotaxis","31/331","278/11041",0.111510791366906,3.7196092068943,8.07357769010375,2.3745075069573e-10,1.61285798301786e-07,1.61285798301786e-07,"Sema4d/Il1b/Ptafr/Csf1r/Pla2g7/Sema5b/Cdh13/P2ry12/Cx3cr1/Fcer1g/Chga/Gna14/Rac2/Nckap1l/Lgals3/Spi1/Ackr3/Mdk/Dscam/Sema6d/Ccl6/Kit/C3ar1/C3/Itgb2/Gab1/Rhog/Dysf/Bin2/Lgmn/Aif1",31
"GO:0006954","inflammatory response","43/331","496/11041",0.0866935483870968,2.89179295390313,7.57870404736636,2.65469029810914e-10,1.61285798301786e-07,1.61285798301786e-07,"Il1b/Hck/C1qa/Akna/Ptafr/Cntnap2/Tyrobp/Tlr2/Tfr2/Csf1r/Ugt1a1/Cd68/Cd300a/Ctss/Cx3cr1/Fcer1g/Gna14/Lrrc25/Cfh/Tnfaip8l2/Pld4/Hdac7/Hba-a2/Slc11a1/Tnfrsf1b/Apoe/Mdk/Ccl6/Dusp10/Hba-a1/Abcd2/Mims2/Tlr3/Kit/C3ar1/C3/Ncf1/Itgb2/Ptpn6/Adora2a/Irf3/Acod1/Aif1",43
"GO:0006959","humoral immune response","15/331","65/11041",0.230769230769231,7.69765280037183,9.52052850566285,5.52539096950549e-10,2.71045542467742e-07,2.71045542467742e-07,"Il1b/C1qa/Cfp/Ptprc/C1qc/Fcgrt/Fam3a/Lgals3/Cfh/C1qb/C2/Ccl6/C3/Ptpn6/Acod1",15
"GO:0060326","cell chemotaxis","24/331","181/11041",0.132596685082873,4.42296072507553,8.16262958741365,8.46871322051568e-10,3.80809804482522e-07,3.80809804482522e-07,"Il1b/Csf1r/Pla2g7/Cx3cr1/Fcer1g/Chga/Gna14/Rac2/Nckap1l/Lgals3/Spi1/Ackr3/Mdk/Ccl6/Kit/C3ar1/C3/Itgb2/Gab1/Rhog/Dysf/Bin2/Lgmn/Aif1",24
"GO:0097529","myeloid leukocyte migration","20/331","127/11041",0.15748031496063,5.25299141232724,8.47438498341996,1.06298522649681e-09,4.41220637090523e-07,4.41220637090522e-07,"Il1b/Csf1r/Pla2g7/Cd300a/P2ry12/Cx3cr1/Fcer1g/Chga/Rac2/Nckap1l/Lgals3/Spi1/Mdk/Kit/C3ar1/Itgb2/Ror2/Dysf/Lgmn/Aif1",20
"GO:0002274","myeloid leukocyte activation","22/331","155/11041",0.141935483870968,4.73447032452977,8.23122541178038,1.18259976810882e-09,4.55807739193942e-07,4.55807739193942e-07,"C1qa/Anxa3/Ptafr/Myo1f/Tyrobp/Tlr2/Csf1r/Cd300a/Cx3cr1/Fcer1g/Stxbp2/Chga/Rac2/Spi1/Slc11a1/Tlr3/Kit/Itgb2/Ptpn6/Lcp2/Dysf/Aif1",22
"GO:0009617","response to bacterium","37/331","422/11041",0.0876777251184834,2.92462164058361,7.08701868806209,3.87318157588754e-09,1.1610937657494e-06,1.1610937657494e-06,"Il1b/Hck/Anxa3/Ptafr/Myo1f/Tlr2/Csf1r/Ugt1a1/Cd68/Alpk1/Cx3cr1/Fcer1g/Chga/Fgfr2/Lyz2/Nfib/Smad6/Irf8/Cfh/Tifab/Hmcn1/Spi1/Slc11a1/Tnfrsf1b/C2/Dusp10/Inava/Abcd2/Abca1/Cldn1/C3/Csf2rb/Ncf1/Ptpn6/Irf3/Acod1/Aif1",37
"GO:0002253","activation of immune response","33/331","354/11041",0.0932203389830508,3.10950381483947,7.09182221263652,6.32042362268779e-09,1.6240478984773e-06,1.6240478984773e-06,"Il1b/Clec2g/C1qa/Tyrobp/Tlr2/Alpk1/Cd300a/Fcer1g/Shb/Cfp/Ptprc/Nckap1l/C1qc/Lgals3/Cfh/Pld4/Tifab/C1qb/Ezr/C2/Laptm5/Inava/Blnk/Unc93b1/Tlr3/Nfam1/C3ar1/C3/Ptpn6/Oasl/Irf3/Lcp2/Acod1",33
"GO:0006909","phagocytosis","20/331","146/11041",0.136986301369863,4.56938294085999,7.63237591621704,1.27643915615894e-08,2.9598361368275e-06,2.9598361368275e-06,"Hck/Anxa3/Tyrobp/Tlr2/Cd300a/Fcer1g/Ptprc/Nckap1l/Irf8/Cd302/Pld4/Slc11a1/C2/Abca1/Abca7/C3/Itgb2/Dysf/Bin2/Aif1",20
"GO:0002521","leukocyte differentiation","36/331","422/11041",0.0853080568720379,2.84557781245973,6.79595623959038,1.31645788146516e-08,2.9598361368275e-06,2.9598361368275e-06,"Il1b/Dlk1/Ccser1/Cited2/Tyrobp/Tlr2/Csf1r/Fcer1g/Shb/Ptprc/Nckap1l/C1qc/Mfng/Hcls1/Tesc/Irf8/Inpp5d/Spi1/Hdac7/Dll4/C2/Mdk/Cbfa2t3/Laptm5/Ccl6/Dusp10/Tmem176b/Eomes/Nfam1/Kit/Dux4/Ptpn6/Lrrc17/Ror2/Tmem176a/Fzd7",36
"GO:0002687","positive regulation of leukocyte migration","16/331","96/11041",0.166666666666667,5.55941591137966,7.88752488102926,2.23116515708514e-08,4.81574687505256e-06,4.81574687505256e-06,"Il1b/Ptafr/Tlr2/Csf1r/Pla2g7/P2ry12/Cx3cr1/Rac2/Nckap1l/Lgals3/Spi1/Mdk/C3ar1/Dysf/Lgmn/Aif1",16
"GO:0043299","leukocyte degranulation","12/331","51/11041",0.235294117647059,7.84858716900658,8.6176931844457,2.39855275196978e-08,4.97791948062652e-06,4.97791948062652e-06,"Anxa3/Ptafr/Myo1f/Cd300a/Fcer1g/Stxbp2/Chga/Rac2/Nckap1l/Spi1/Kit/Itgb2",12
"GO:0008285","negative regulation of cell population proliferation","38/331","486/11041",0.0781893004115226,2.60812104484478,6.37399251862044,5.28791139437899e-08,9.51118996135634e-06,9.51118996135634e-06,"Il1b/Tp73/Tgfbr1/Dlk1/Cited2/Tyrobp/Tlr2/St18/Csf1r/Foxo4/Cd300a/Cdh13/Fgfr2/Dach1/Gpnmb/Tesc/Nfib/Smad6/Lgals3/Inpp5d/Hpgds/Ddr1/Apoe/Cdkn1c/Dll4/Skap2/Ackr3/Cbfa2t3/Laptm5/Dusp10/Dux4/Ptpn6/Tgif1/Adora2a/Kat2b/Pde9a/Nr2f2/Aif1",38
