"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","rno05150","Staphylococcus aureus infection","11/176","20/5519",0.55,17.246875,13.209840444079,3.32961201335135e-12,1.11209041245935e-09,1.11209041245935e-09,"84007/308995/58949/298566/25021/362634/155012/24232/24231/29687/309684",11
"Organismal Systems","Immune system","rno04610","Complement and coagulation cascades","9/176","31/5519",0.290322580645161,9.10392228739003,8.21152195067921,3.06206590158449e-07,5.1136500556461e-05,5.1136500556461e-05,"84007/298566/25021/362634/155012/24232/24231/29687/309684",9
"Human Diseases","Infectious disease: bacterial","rno05133","Pertussis","10/176","44/5519",0.227272727272727,7.12680785123967,7.40496707071741,8.16705310291366e-07,9.09265245457721e-05,9.09265245457721e-05,"292060/298566/24494/25021/362634/24232/24231/292892/29687/309684",10
"Human Diseases","Infectious disease: parasitic","rno05144","Malaria","7/176","25/5519",0.28,8.78022727272727,7.0757512258996,8.8017582063728e-06,0.000734946810232129,0.000734946810232129,"308995/360504/292406/24494/310553/25632/309684",7
"Environmental Information Processing","Signaling molecules and interaction","rno04061","Viral protein interaction with cytokine and cytokine receptor","6/176","19/5519",0.315789473684211,9.90251196172249,7.0544411772557,1.85491567403968e-05,0.00123908367025851,0.00123908367025851,"171056/84348/287910/156767/304091/307403",6
"Human Diseases","Immune disease","rno05322","Systemic lupus erythematosus","6/176","30/5519",0.2,6.27159090909091,5.25424484999183,0.000303053000555501,0.0168699503642562,0.0168699503642562,"298566/362634/685909/24232/24231/29687",6
"Environmental Information Processing","Signaling molecules and interaction","rno04060","Cytokine-cytokine receptor interaction","10/176","86/5519",0.116279069767442,3.64627378435518,4.48868100213769,0.000365379092895742,0.017433802432454,0.017433802432454,"171081/25366/29591/171056/84348/24494/287910/156767/304091/307403",10
"Human Diseases","Infectious disease: parasitic","rno05140","Leishmaniasis","7/176","46/5519",0.152173913043478,4.77186264822134,4.66204709380863,0.000556459687508277,0.0211395093544399,0.0211395093544399,"24494/310553/116689/25021/114553/24232/309684",7
"Human Diseases","Infectious disease: parasitic","rno05142","Chagas disease","9/176","75/5519",0.12,3.76295454545455,4.37219887869948,0.000569627497574727,0.0211395093544399,0.0211395093544399,"60660/29591/309242/298566/24494/310553/362634/24232/29687",9
"Environmental Information Processing","Signaling molecules and interaction","rno04518","Integrin signaling","11/176","120/5519",0.0916666666666667,2.87447916666667,3.76763803148177,0.00143670873823213,0.0468948777564494,0.0468948777564494,"308995/689069/25412/292406/309186/25021/366957/81008/24232/305104/309684",11
"Organismal Systems","Immune system","rno04613","Neutrophil extracellular trap formation","9/176","86/5519",0.104651162790698,3.28164640591966,3.87019020344597,0.00154444208179923,0.0468948777564494,0.0468948777564494,"308995/310553/25021/366957/114553/685909/24232/84582/309684",9
"Organismal Systems","Immune system","rno04650","Natural killer cell mediated cytotoxicity","7/176","61/5519",0.114754098360656,3.59845380029806,3.7035460268098,0.00303568674917242,0.0844932811852991,0.0844932811852991,"25441/308995/155918/361537/116689/366957/309684",7
"Environmental Information Processing","Signaling molecules and interaction","rno04514","Cell adhesion molecule (CAM) interaction","8/176","79/5519",0.10126582278481,3.17548906789413,3.53448054854794,0.00344867371700953,0.0886043862677834,0.0886043862677834,"308995/65129/24699/25356/500105/25021/360323/309684",8
"Human Diseases","Infectious disease: bacterial","rno05134","Legionellosis","5/176","36/5519",0.138888888888889,4.35527146464646,3.6654254055619,0.00526577141389338,0.125626260874313,0.125626260874313,"24494/310553/25021/24232/309684",5
"Organismal Systems","Development and regeneration","rno04380","Osteoclast differentiation","8/176","89/5519",0.0898876404494382,2.81869254341164,3.13912760187116,0.00713265340013592,0.156204477181869,0.156204477181869,"366126/499356/29591/155918/24494/361537/307403/114553",8
"Metabolism","Xenobiotics biodegradation and metabolism","rno00980","Metabolism of xenobiotics by cytochrome P450","4/176","25/5519",0.16,5.01727272727273,3.65352083279296,0.00748284920631707,0.156204477181869,0.156204477181869,"300850/24861/691002/58962",4
"Human Diseases","Endocrine and metabolic disease","rno04936","Alcoholic liver disease","8/176","94/5519",0.0851063829787234,2.66876208897485,2.96150912615552,0.0098300387200138,0.189420011205871,0.189420011205871,"84007/298566/24494/362634/24232/24231/292892/29687",8
"Organismal Systems","Immune system","rno04670","Leukocyte transendothelial migration","7/176","76/5519",0.0921052631578947,2.88823265550239,3.00813780700191,0.0102082640769631,0.189420011205871,0.189420011205871,"308995/65129/25021/366957/114553/54319/309684",7
"Organismal Systems","Digestive system","rno04979","Cholesterol metabolism","4/176","28/5519",0.142857142857143,4.47970779220779,3.35004518190379,0.0112461689020929,0.197695811226265,0.197695811226265,"25728/313210/286898/296371",4
"Environmental Information Processing","Signaling molecules and interaction","rno04517","IgSF CAM signaling","14/176","231/5519",0.0606060606060606,1.90048209366391,2.53740588488171,0.0150923828497577,0.234971196647777,0.234971196647777,"308995/25311/306534/29682/54259/25356/155918/315546/500105/116689/25021/289392/54319/309684",14
"Human Diseases","Infectious disease: parasitic","rno05143","African trypanosomiasis","3/176","17/5519",0.176470588235294,5.53375668449198,3.39763695316582,0.0155942202831214,0.234971196647777,0.234971196647777,"360504/24494/25632",3
"Organismal Systems","Immune system","rno04640","Hematopoietic cell lineage","4/176","31/5519",0.129032258064516,4.04618768328446,3.08663337827182,0.0160516608882767,0.234971196647777,0.234971196647777,"24494/25021/307403/64030",4
"Organismal Systems","Immune system","rno04664","Fc epsilon RI signaling pathway","5/176","47/5519",0.106382978723404,3.33595261121857,2.91873393572394,0.0161806512661643,0.234971196647777,0.234971196647777,"25441/311341/54259/155918/366957",5
"Human Diseases","Infectious disease: bacterial","rno05152","Tuberculosis","8/176","104/5519",0.0769230769230769,2.41215034965035,2.63847492973371,0.0174050341263572,0.242220058258471,0.242220058258471,"25441/50654/24494/310553/25021/304091/24232/309684",8
"Metabolism","Xenobiotics biodegradation and metabolism","rno00982","Drug metabolism - cytochrome P450","3/176","20/5519",0.15,4.70369318181818,3.01136039919317,0.0243818334100696,0.313212783037048,0.313212783037048,"300850/24861/58962",3
