"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","rno04080","Neuroactive ligand-receptor interaction","58/491","148/5519",0.391891891891892,4.40499256894369,13.1205913585951,2.15016277601461e-24,7.18154367188879e-22,7.18154367188879e-22,"24415/25450/25456/24419/29559/29237/24473/24318/25340/50672/25033/29628/25298/25555/29358/25706/140674/366274/24418/25075/25461/24416/25689/24260/29461/79211/29707/83567/114115/58812/140595/83633/24166/25265/79219/24180/299757/25102/24604/140675/25083/295144/362133/24412/29705/81672/29689/25590/24408/24797/24929/24410/25451/25111/25235/60590/79220/117097",58
"Environmental Information Processing","Signaling molecules and interaction","rno04082","Neuroactive ligand signaling","47/491","126/5519",0.373015873015873,4.19281996573239,11.3286576477873,7.33630089151573e-19,1.22516224888313e-16,1.22516224888313e-16,"24415/25450/25456/24419/64532/29559/29237/25023/24473/24318/29628/79212/140674/24418/25075/25461/24416/84012/25689/24260/79211/58979/24680/29707/114115/294962/79213/83633/25265/302950/114120/81636/140675/25083/24412/29483/29705/81672/29689/25590/25643/24408/305509/24410/25451/25111/60590",47
"Organismal Systems","Nervous system","rno04724","Glutamatergic synapse","32/491","96/5519",0.333333333333333,3.74677528852682,8.48345783293929,1.20392574610532e-11,1.34037066399726e-09,1.34037066399726e-09,"24415/29547/24419/64532/29559/25023/29628/24418/50599/24416/25097/84012/58979/24680/296091/25262/294962/302950/114120/81636/59312/24412/29483/81672/65040/25643/252919/24408/305509/24410/29716/60590",32
"Organismal Systems","Nervous system","rno04727","GABAergic synapse","25/491","68/5519",0.367647058823529,4.13247274469869,8.12152575530855,2.07562934145168e-10,1.73315050011215e-08,1.73315050011215e-08,"25450/64532/25023/79212/140674/79211/58979/24680/29707/294962/79213/83633/302950/114120/81636/171373/140675/29705/29689/25643/252919/305509/81632/25451/29716",25
"Organismal Systems","Environmental adaptation","rno04713","Circadian entrainment","26/491","76/5519",0.342105263157895,3.84537463822489,7.8047868119116,5.63914505982148e-10,3.76694889996075e-08,3.76694889996075e-08,"64532/25023/29628/497757/25202/50599/116560/58979/24680/25400/25262/294962/24166/302950/24245/56827/114120/81636/689560/24412/25643/24408/305509/24410/29716/314322",26
"Environmental Information Processing","Signal transduction","rno04020","Calcium signaling pathway","41/491","169/5519",0.242603550295858,2.72694296147218,7.1248941153871,1.183677324364e-09,6.58913710562624e-08,6.58913710562624e-08,"25023/25267/81677/171503/50672/81529/25706/366274/24418/24716/25461/25689/24260/24680/24629/25400/24553/25262/114115/25266/50646/25444/302950/24180/24245/25054/56827/81636/689560/24412/114633/24827/24408/24215/24929/360457/305509/24446/24410/29716/24329",41
"Human Diseases","Substance dependence","rno05032","Morphine addiction","22/491","72/5519",0.305555555555556,3.43454401448291,6.49739321879291,1.25613687338346e-07,5.99356736728679e-06,5.99356736728679e-06,"25450/64532/25023/81529/140674/50599/116560/79211/58979/24680/29707/294962/83633/302950/114120/81636/140675/29705/29689/25643/305509/25451",22
"Organismal Systems","Endocrine system","rno04925","Aldosterone synthesis and secretion","22/491","73/5519",0.301369863013699,3.38749546633931,6.41651371298146,1.65149487495035e-07,6.89499110291769e-06,6.89499110291769e-06,"64532/25023/171503/29680/500131/84429/54278/24680/25650/25400/25262/302950/24180/24245/79240/56827/81636/29553/24215/305509/24212/29716",22
"Environmental Information Processing","Signal transduction","rno04024","cAMP signaling pathway","34/491","151/5519",0.225165562913907,2.53093430085917,5.96036331850373,2.31958838121795e-07,8.60825021474216e-06,8.60825021474216e-06,"64532/252857/24473/24318/25033/29628/29358/500131/25075/25097/114244/25650/25400/291936/24225/83633/24166/302950/24245/24604/81636/689560/24412/25643/114633/24408/24797/24215/24929/305509/24410/24212/29716/314322",34
"Organismal Systems","Nervous system","rno04725","Cholinergic synapse","24/491","88/5519",0.272727272727273,3.06554341788558,6.10337033666566,3.63853516143929e-07,1.21527074392072e-05,1.21527074392072e-05,"64532/117052/25023/500131/50599/259273/24260/58979/24680/116649/25400/25262/294962/302950/24245/114120/81636/25590/25643/298496/305509/29716/25111/314322",24
"Human Diseases","Substance dependence","rno05033","Nicotine addiction","13/491","30/5519",0.433333333333333,4.87080787508486,6.642775688354,5.4425458849628e-07,1.65255484143416e-05,1.65255484143416e-05,"25450/29628/140674/79211/29707/140675/24412/29705/29689/25590/24408/24410/25451",13
"Environmental Information Processing","Signal transduction","rno04072","Phospholipase D signaling pathway","28/491","116/5519",0.241379310344828,2.71318210548494,5.82705342522965,6.20818427811666e-07,1.7279446240758e-05,1.7279446240758e-05,"24415/116693/24419/64532/252857/25267/171574/24418/24416/25097/361076/24680/24629/296091/81821/25266/50646/302950/24180/81636/60427/81672/114858/305509/54248/24329/140694/60590",28
"Organismal Systems","Endocrine system","rno04911","Insulin secretion","19/491","63/5519",0.301587301587302,3.38993954676236,5.96147832392226,1.15038434755734e-06,2.95560286218578e-05,2.95560286218578e-05,"64532/252857/25023/25298/500131/24260/83731/24680/25650/25400/24166/302950/24245/81636/689560/305509/24212/29716/294961",19
"Environmental Information Processing","Signaling molecules and interaction","rno04081","Hormone signaling","26/491","107/5519",0.242990654205607,2.7312941355616,5.65090247849685,1.37365047101799e-06,3.27713755228578e-05,3.27713755228578e-05,"64532/25339/252857/29237/24318/25033/25298/25555/25706/58979/83567/29376/294962/84511/302950/24180/114120/81636/85435/25083/25643/24797/305509/296456/25235/114593",26
"Organismal Systems","Digestive system","rno04971","Gastric acid secretion","16/491","51/5519",0.313725490196078,3.52637674214289,5.66373479523305,4.58690460419408e-06,0.000102135075853388,0.000102135075853388,"64532/25023/25706/25461/24260/24680/25650/25400/25262/302950/24245/81636/25643/24797/305509/24212",16
"Organismal Systems","Endocrine system","rno04921","Oxytocin signaling pathway","26/491","114/5519",0.228070175438596,2.56358309214993,5.27120008666232,4.90710050910834e-06,0.000102435723127637,0.000102435723127637,"64532/117052/25023/171503/497757/25202/50599/116560/24680/116649/25400/296091/25262/25399/58919/302950/24245/499497/81636/689560/25643/305509/306243/29716/24329/314322",26
"Organismal Systems","Nervous system","rno04723","Retrograde endocannabinoid signaling","25/491","111/5519",0.225225225225225,2.53160492468028,5.09358856235196,9.46844585259307e-06,0.000186027112633299,0.000186027112633299,"25450/64532/84556/25023/29628/140674/24418/50599/116560/79211/58979/24680/29707/25262/294962/302950/114120/81636/140675/29705/29689/25643/305509/25451/29716",25
"Organismal Systems","Digestive system","rno04972","Pancreatic secretion","16/491","55/5519",0.290909090909091,3.26991297907795,5.28651132782829,1.35866947315652e-05,0.000252108668907932,0.000252108668907932,"64532/25023/25298/24260/24291/83731/24680/25650/25262/84484/302950/81636/689560/24215/305509/24212",16
"Organismal Systems","Sensory system","rno04742","Taste transduction","13/491","39/5519",0.333333333333333,3.74677528852682,5.37896991801884,1.74211367205382e-05,0.000306245245508408,0.000306245245508408,"64467/24766/24473/81529/25075/24260/29707/25364/114115/83633/25265/140675/29705",13
"Organismal Systems","Endocrine system","rno04927","Cortisol synthesis and secretion","14/491","45/5519",0.311111111111111,3.49699026929169,5.25538660626787,2.02677177690679e-05,0.000333114923039418,0.000333114923039418,"64532/29680/500131/25469/25262/302950/24180/79240/56827/81636/29553/305509/29716/294930",14
"Cellular Processes","Cellular community - eukaryotes","rno04540","Gap junction","18/491","69/5519",0.260869565217391,2.93225892145577,5.04691017262851,2.09443514485862e-05,0.000333114923039418,0.000333114923039418,"64532/25023/25267/24318/497757/316531/25202/24418/24680/24629/307351/25262/25266/302950/81636/25643/305509/24329",18
"Environmental Information Processing","Signal transduction","rno04014","Ras signaling pathway","32/491","172/5519",0.186046511627907,2.09122341685218,4.54314677846887,3.77321090457796e-05,0.000572842019149563,0.000572842019149563,"361714/25023/25267/24596/25097/89805/58979/192117/24680/24629/304063/24553/296091/81737/294962/24225/25266/114513/25444/25054/114120/60427/114633/24827/24408/114858/360457/24446/296078/24410/24329/360814",32
"Organismal Systems","Sensory system","rno04750","Inflammatory mediator regulation of TRP channels","16/491","61/5519",0.262295081967213,2.94828219425061,4.78116765609752,5.59628554041375e-05,0.000812677987173128,0.000812677987173128,"64532/25023/29465/24680/81749/25400/25364/296091/25262/25466/302950/24245/81636/63882/85420/305509",16
"Organismal Systems","Digestive system","rno04970","Salivary secretion","14/491","49/5519",0.285714285714286,3.21152167588013,4.85880575112365,5.87311620202548e-05,0.000817342004781879,0.000817342004781879,"64532/25023/497757/25202/24260/83731/24680/25650/25262/302950/81636/24215/305509/24212",14
"Environmental Information Processing","Signaling molecules and interaction","rno04519","Cadherin signaling","38/491","225/5519",0.168888888888889,1.89836614618692,4.29918989110435,6.75938101139003e-05,0.000903053303121707,0.000903053303121707,"25450/300228/301887/25267/306081/140674/84426/29163/29686/29181/79211/316201/25485/24629/29707/24553/266608/84408/25484/84407/295062/25409/50646/361943/29162/362298/307481/140675/29705/29689/310174/315259/116741/306091/312563/25451/406228/24329",38
"Organismal Systems","Nervous system","rno04726","Serotonergic synapse","17/491","70/5519",0.242857142857143,2.72979342449811,4.55112556247901,9.4819721249115e-05,0.00121806872681555,0.00121806872681555,"25450/64532/25023/24473/25075/50599/116560/25689/58979/24680/296091/25262/294962/114120/25643/25451/29716",17
"Organismal Systems","Circulatory system","rno04270","Vascular smooth muscle contraction","18/491","80/5519",0.225,2.5290733197556,4.3047480130135,0.000170941316646699,0.00211460739851842,0.00211460739851842,"64532/25023/25365/497757/25202/83731/24680/81749/296091/25262/302950/24180/81636/85420/305509/29716/294961/114593",18
"Environmental Information Processing","Signal transduction","rno04151","PI3K-Akt signaling pathway","39/491","245/5519",0.159183673469388,1.78927636227607,3.94889908664926,0.000201582532438552,0.00240459163694559,0.00240459163694559,"685004/24477/192362/25267/500131/140433/24716/24596/257645/89805/58979/24680/24629/362584/24553/362800/81737/294962/58919/24225/25266/25444/79240/29393/117256/171498/25054/29517/114120/60427/116640/24827/84352/360606/360457/24446/296456/24329/25235",39
"Organismal Systems","Nervous system","rno04728","Dopaminergic synapse","21/491","104/5519",0.201923076923077,2.26968118439605,4.08456754810494,0.000256782115207733,0.00295742160273734,0.00295742160273734,"64532/25023/24318/29628/192349/500131/50599/116560/58979/24680/25400/25262/294962/24245/117256/114120/25643/24410/29716/314322/29657",21
"Environmental Information Processing","Signal transduction","rno04010","MAPK signaling pathway","37/491","232/5519",0.15948275862069,1.79263817683826,3.85432456423591,0.000282580471802067,0.00312564648337334,0.00312564648337334,"361714/29644/25023/25267/171109/24716/24596/89805/24680/24629/24553/296091/81737/25399/24225/25266/114513/25466/25444/79240/25054/499497/360640/56827/114120/29477/60427/24827/311406/360457/24446/306243/365057/498003/29716/24329/314322",37
"Environmental Information Processing","Signaling molecules and interaction","rno04518","Integrin signaling","23/491","120/5519",0.191666666666667,2.15439579090292,3.99505399611108,0.000297213062478306,0.00312564648337334,0.00312564648337334,"289486/685004/24477/192362/25267/140433/362973/257645/24629/362584/24553/362800/58919/25266/29393/315776/116640/84352/360606/360457/24446/296456/24329",23
"Cellular Processes","Cell motility","rno04820","Cytoskeleton in muscle cells","28/491","159/5519",0.176100628930818,1.97942845431605,3.91582111536362,0.000303869619509897,0.00312564648337334,0.00312564648337334,"29276/307189/685004/29557/25365/25181/29139/257645/316201/64353/25494/25650/362584/362800/302248/25095/29393/287746/29437/315776/84352/84032/360606/24212/56781/296456/60379/282583",28
