"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"rno05152","Tuberculosis",104,0.721073457021909,2.35198742470244,5.50987785935442e-10,9.58718747527669e-08,9.58718747527669e-08,1022,"tags=26%, list=8%, signal=24%","Il1b/C3/Itgb2/Fcer1g/Tlr2/Itgam/Ctss/Tlr9/Tradd/Il10ra/Cd14/Mrc1/Syk/Fcgr3a/RT1-DOb/Il23a/Irak4/Tgfb1/Myd88/Mapk11/Rfx5/Ripk2/Card9/Tgfb3/RT1-Db1/Il10rb/Ksr1",0.801215574617779
"rno05140","Leishmaniasis",46,0.814553029765562,2.29046338219162,2.85648922270928e-08,3.31352749834276e-06,3.31352749834276e-06,1012,"tags=37%, list=8%, signal=34%","Il1b/C3/Ncf1/Itgb2/Tlr2/Itgam/Fos/Ptpn6/Fcgr3a/RT1-DOb/Cybb/Irak4/Tgfb1/Myd88/Mapk11/Tgfb3/RT1-Db1",0.73376198835648
"rno04620","Toll-like receptor signaling pathway",65,0.739066426180858,2.27448635393855,1.40261694643145e-07,9.76221394716292e-06,9.76221394716292e-06,816,"tags=23%, list=7%, signal=22%","Ccl3/Il1b/Tlr3/Tlr2/Tlr7/Fos/Tlr9/Cd14/Ctsk/Irf3/Ikbke/Irak4/Tlr5/Myd88/Mapk11",0.690132458796796
"rno05323","Rheumatoid arthritis",41,0.807748664331249,2.25908088816815,2.87758285194255e-07,1.66899805412668e-05,1.66899805412668e-05,356,"tags=29%, list=3%, signal=29%","Ccl3/Il1b/Itgal/Itgb2/Tlr2/Fos/Icam1/Tnfsf13/RT1-DOb/Acp5/Il23a/Ctsk",0.674962860011025
"rno04650","Natural killer cell mediated cytotoxicity",61,0.733331498324702,2.22498815989827,1.01832648566716e-06,3.54377617012172e-05,3.54377617012172e-05,610,"tags=23%, list=5%, signal=22%","Itgal/Rac2/Itgb2/Fcer1g/Icam1/Ptpn6/Syk/Fcgr3a/Lcp2/Tyrobp/Plcg2/Prkcg/Shc4/Vav1",0.643551836150722
"rno05133","Pertussis",44,0.779989265444321,2.1804738215864,1.25631352668597e-06,3.64330922738931e-05,3.64330922738931e-05,816,"tags=36%, list=7%, signal=34%","Il1b/C3/Itgb2/Itgam/Fos/C2/Irf8/Cd14/Il23a/C1qa/C1qc/Irf3/Irak4/C1qb/Myd88/Mapk11",0.643551836150722
"rno05134","Legionellosis",36,0.796666107315987,2.16642452307398,1.24504169070451e-06,3.64330922738931e-05,3.64330922738931e-05,157,"tags=17%, list=1%, signal=16%","Il1b/C3/Itgb2/Tlr2/Itgam/Cd14",0.643551836150722
"rno04110","Cell cycle",142,-0.645449883522885,-2.16549006041113,2.03064952181969e-10,7.06666033593254e-08,7.06666033593254e-08,1983,"tags=39%, list=16%, signal=33%","Ppp2r5a/Dbf4/E2f3/Ddx11/Anapc15/Cdc14b/E2f5/Skp2/Cdk6/Mcm6/Trip13/Gadd45b/Esco1/Cdk7/Orc5/Wee1/Mcm2/Bub1/Espl1/Tgfb2/Fbxo5/Cdkn2c/Esco2/Mad2l1/Sgo1/Pcna/Ccne1/Ccnb1/Pttg1/Ticrr/Pkmyt1/Cdkn2b/Cdt1/Mcm5/Plk1/Cdc6/Mcm3/Ccna2/Ttk/Cdk1/Cdc20/Ccne2/Aurkb/Cdk2/Cdc14a/Ndc80/Knl1/Bub1b/Hdac1l/Rbl1/Chek2/Smad3/Ccna1/Orc1/Mtbp/Ccnd1",0.826657301178302
"rno04613","Neutrophil extracellular trap formation",86,0.674930186168008,2.14706831206232,5.50027996768207e-07,2.73442489821908e-05,2.73442489821908e-05,479,"tags=19%, list=4%, signal=18%","C3/Itgal/Ncf1/Rac2/Itgb2/Tlr2/Itgam/Tlr7/Syk/Fcgr3a/Casp4/Ager/Cybb/Plcg2/Prkcg/Hdac10",0.659444398037935
"rno05417","Lipid and atherosclerosis",131,0.635327636935769,2.14364668889381,1.09104474494182e-07,9.49208928099383e-06,9.49208928099383e-06,816,"tags=14%, list=7%, signal=13%","Ccl3/Il1b/Ncf1/Tlr2/Fos/Icam1/Cd14/Sele/Ager/Cybb/Arhgef1/Pou2f2/Irf3/Ikbke/Irak4/Vav1/Myd88/Mapk11",0.704975715167238
"rno05150","Staphylococcus aureus infection",20,0.88495313173967,2.12929928782781,9.81110429854834e-07,3.54377617012172e-05,3.54377617012172e-05,625,"tags=75%, list=5%, signal=71%","C3/Itgal/C3ar1/Itgb2/Itgam/Icam1/Cfh/C2/Ptafr/Fcgr3a/RT1-DOb/C1qa/C1qc/Krt26/C1qb",0.643551836150722
"rno05142","Chagas disease",75,0.676731601634858,2.10269699997307,2.87637615805118e-06,7.14984930715578e-05,7.14984930715578e-05,816,"tags=20%, list=7%, signal=19%","Ccl3/Il1b/C3/Tlr2/Fos/Tlr9/Tgfbr2/Ace/C1qa/C1qc/Irak4/C1qb/Tgfb1/Myd88/Mapk11",0.627256739718528
"rno04062","Chemokine signaling pathway",120,0.616017019809547,2.0693840947751,7.86261342263946e-07,3.42023683884817e-05,3.42023683884817e-05,610,"tags=13%, list=5%, signal=13%","Ccl3/Ncf1/Fgr/Pik3r5/Pik3cg/Rac2/Ccl6/Gnb3/Hck/Jak3/Plcg2/Cxcl16/Rock1/Shc4/Grk4/Vav1",0.659444398037935
"rno04380","Osteoclast differentiation",89,0.643471796858046,2.04195295174157,1.71626374903152e-06,4.594306035869e-05,4.594306035869e-05,427,"tags=17%, list=4%, signal=16%","Il1b/Ncf1/Fos/Csf1r/Tgfbr2/Syk/Fosb/Fcgr3a/Spi1/Blnk/Acp5/Lcp2/Ctsk/Tyrobp/Plcg2",0.643551836150722
"rno04664","Fc epsilon RI signaling pathway",47,0.692586182668829,1.96982667890809,6.98574855007032e-05,0.00143002382083792,0.00143002382083792,816,"tags=19%, list=7%, signal=18%","Rac2/Fcer1g/Syk/Lcp2/Pla2g4b/Plcg2/Inpp5d/Vav1/Mapk11",0.538434096309916
"rno04640","Hematopoietic cell lineage",31,0.703404293048484,1.87418388155604,0.0020854192042572,0.0201590523078196,0.0201590523078196,1364,"tags=45%, list=11%, signal=40%","Il1b/Itgam/Csf1r/Cd14/RT1-DOb/Gp5/Csf2ra/Cd55/Il11/RT1-Db1/Tfrc/Cd44/Itga3/Il6r",0.431707695803346
