"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"GO:0001764","neuron migration",178,0.543238282763656,2.43887425391402,1e-10,3.98615384615385e-08,3.20253494211206e-08,2480,"tags=44%, list=20%, signal=36%","Cntn2/Arhgap32/Erbb4/Fzd3/Nrp1/Kif26a/Zfp609/Plxnb2/Dcc/Rac1/Nrp2/Ntrk2/Wdr62/Mdga1/Celsr1/Ntrk3/Chl1/Alkbh1/Gsk3b/Astn1/Zswim6/Pcnt/Nipbl/Tbc1d24/Ptprz1/Srgap2/Mdga2/Satb2/Zmiz1/Nav1/Met/Gpr173/Igsf10/Nexmif/Plxna1/Fat3/Myh10/Celsr2/Ctnnb1/Dclk1/Astn2/Celsr3/Cxcr4/Fat1/Reln/Unc5d/Nr2f2/Usp9x/Adgrl3/Neo1/Auts2/Ddit4/Lhx6/Dcx/Psen1/Trim46/Cck/Scrt1/Crkl/Sema6a/Il1r1/Abi2/Mrtfa/Mest/Mef2c/Unk/Ndn/Nrg1/Ntng2/Kirrel3/Nkx2-1/Ulk4/Lrig2/Pomgnt2/Fyn/Mapk8ip3/Pex7/Stat3/Fbxo41",NA,"activated"
"GO:0021954","central nervous system neuron development",89,0.599924907829901,2.43213918824503,1e-10,3.98615384615385e-08,3.20253494211206e-08,1542,"tags=38%, list=13%, signal=34%","Cntn2/Robo1/Nova2/Ephb1/Nrp1/Map2/Robo2/Mycbp2/Dcc/Rac1/Nrp2/Ntrk2/Taok1/Spg11/Nfib/Arhgap35/Plxna4/Slit2/Sptbn4/Szt2/Zmiz1/Prkca/Plxna1/Zeb2/Epha4/Dclk1/Chrnb2/Lingo1/Ephb3/Lhx6/Dcx/L1cam/Atp7a/Crkl",NA,"activated"
"GO:0007411","axon guidance",208,0.526603822617875,2.39837016385695,1e-10,3.98615384615385e-08,3.20253494211206e-08,1157,"tags=31%, list=10%, signal=28%","Cntn2/Robo1/Bmpr2/Nova2/Slit1/Ephb1/Fzd3/Nrp1/Robo2/Mycbp2/Megf8/Ark2c/Dcc/Klf7/Rac1/Nrp2/Ephb2/Nfasc/Nfib/Ank3/Arhgap35/Plxna4/Hspg2/Efnb1/Slit2/Tenm4/Chl1/Dscaml1/Trio/Ptprj/Rtn4r/Sema5a/Slit3/Bcl11b/Lama5/Lmo4/Lrp2/Diaph1/Vangl2/Cyfip2/Enah/Epha4/Cdh4/Myh10/Sema4c/Tenm3/Kalrn/Tenm2/Unc5c/Lrp1/Celsr3/Cxcr4/Reln/Ncam1/Unc5d/Dscam/Epha5/Nell2/Nectin1/Gli3/Neo1/Epha6/Ephb3/Epha7",NA,"activated"
"GO:0007156","homophilic cell-cell adhesion",85,0.591400520080673,2.34380505725644,1.70488309278451e-09,4.90816899267184e-07,3.94329554439778e-07,1731,"tags=41%, list=14%, signal=36%","Pcdh17/Robo1/Pcdh1/Igsf9b/Robo2/Pcdh19/Plxnb2/Ptprf/Clstn2/Hspg2/Celsr1/Dscaml1/Fat4/Pcdh10/Dchs1/Amigo2/Pcdh9/Fat3/Cdh4/Celsr2/Tenm3/Celsr3/Fat1/Dscam/Nectin1/Clstn1/Sdk2/Cadm3/Ptprt/Cdhr2/Pcdhb10/Cdh2/L1cam/Ptpn23/Cdh22",0.788186810800237,"activated"
"GO:0001708","cell fate specification",45,0.653617399383738,2.29553621894351,4.93744584746952e-08,7.10717899488529e-06,5.71001269630539e-06,1692,"tags=47%, list=14%, signal=40%","Mga/Bmpr2/Nfib/Tenm4/Ntrk3/Apc2/Nfia/Apc/Lmo4/Ptch2/Nfix/Ctnnb1/Tead4/Myt1l/Sox6/Psen1/Tbr1/Fzd7/Notch1/Sfrp2/Ptch1",0.719512826338911,"activated"
"GO:0050770","regulation of axonogenesis",162,0.515687944170894,2.27646455667006,1e-10,3.98615384615385e-08,3.20253494211206e-08,1503,"tags=32%, list=12%, signal=28%","Cntn2/Tnr/Arhgap32/Robo1/Bmpr2/Dip2b/Slit1/Nrp1/Map2/Robo2/Map3k13/Tiam1/Plxnb2/Megf8/Sipa1l1/Ntrk2/Arhgap35/Slit2/Ntrk3/Gsk3b/Rtn4r/Sema5a/Islr2/Macf1/Pak3/Jup/Plxnb1/Map1b/Zeb2/Epha4/Cdh4/Adnp/Lrp1/Tiam2/Spart/Ctnnd2/Dscam/Fn1/Syngap1/Rgma/Smurf1/Ephb3/Epha7/Lrp4/Dcx/Psen1/Trim46/Dixdc1/Bcl11a/Cdh2/Plxnc1/L1cam",NA,"activated"
"GO:0016441","post-transcriptional gene silencing",52,0.615260009343504,2.25298255319117,2.69530138407983e-07,3.17432994825038e-05,2.5503036183296e-05,1291,"tags=38%, list=11%, signal=35%","Tnrc6c/Helz/Zswim8/Dicer1/Cnot1/Ago2/Celf2/Tnrc6b/Ago4/Pum1/Ddx6/Eif6/Adar/Dhx9/Elavl1/Mecp2/Eif4g1/Gigyf2/Focad/Pum2",0.674962860011025,"activated"
"GO:0048024","regulation of mRNA splicing, via spliceosome",102,-0.506589506550799,-2.24810719170797,2.06217408463176e-08,3.3835911474774e-06,2.71842716007384e-06,1721,"tags=43%, list=14%, signal=37%","Sap30bp/Qki/Hnrnpu/Rbm10/Thrap3/Arb2a/Srsf3/Srsf2/Srrm1/Cdk11b/Khdrbs1/Larp7/Tra2a/Fmr1/Ythdc1/Ddx17/Khdrbs3/Thumpd2/C1qbp/Magoh/Rbm11/Upf3b/Mbnl2/Rbmx/Rbm39/Rbm5/Acin1/Celf6/Eif1/Sfswap/Rbm24/Arglu1/Hspa8/Ccnl2/Hnrnpa1/Npm1/Upf3a/Srsf6/Hnrnpa2b1/Ddx5/Ccnl1/Exosc10/Snrnp70/Srsf5",0.73376198835648,"suppressed"
"GO:0051963","regulation of synapse assembly",188,0.500778950468463,2.2468521317836,1e-10,3.98615384615385e-08,3.20253494211206e-08,1386,"tags=33%, list=11%, signal=30%","Afdn/Arhgap32/Robo1/Slit1/Ephb1/Mycbp2/Adgrl1/Srcin1/Lats1/Nrxn1/Sipa1l1/Rac1/Ntrk2/Ppp1r9a/Flrt1/Clstn2/Mdga1/Slit2/Ntrk3/Dlg5/Setd5/Gsk3b/Rtn4r/Srgap2/Mdga2/Srgap1/Chd4/Farp1/Lrfn3/Amigo2/Map1b/Prkca/Cyfip2/Nlgn3/Sema4c/Dpysl2/Adnp/Srgap3/Cux2/Ctnnb1/Dclk1/Lrrc4b/Chrnb2/Nrxn2/Iqsec1/Nectin1/Usp9x/Adgrl3/Clstn1/Ephb3/Slitrk5/Epha7/Lrp4/Six4/Eif4g1/Nlgn2/Pum2/Cpeb3/Rtn4rl2/Dcx/Agrn/Samd4a",NA,"activated"
"GO:0048013","ephrin receptor signaling pathway",40,0.643547375442999,2.23437428432577,1.42252322877467e-06,0.000115179927679849,9.25372570305006e-05,1969,"tags=42%, list=16%, signal=36%","Ephb1/Tiam1/Sipa1l1/Ephb2/Efnb1/Ntrk3/Diaph1/Epha4/Epha5/Anks1a/Epha6/Ephb3/Epha7/Abl1/Epha8/Efna3/Nck1",0.643551836150722,"activated"
