"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"GO:0021953","central nervous system neuron differentiation",191,0.554473823160369,2.49974447135614,1e-10,3.98615384615385e-08,3.20253494211206e-08,1692,"tags=37%, list=14%, signal=32%","Cntn2/Lonrf2/Robo1/Nova2/Ephb1/Erbb4/Nrp1/Dicer1/Map2/Robo2/Mycbp2/Rorb/Dcc/Nrxn1/Rac1/Nrp2/Ntrk2/Taok1/Chd5/Spg11/Nfib/Mdga1/Arhgap35/Plxna4/Slit2/Atp2b2/Sox5/Sptbn4/Zswim6/Szt2/Bcl11b/Lmo4/Mdga2/Shank3/Zmiz1/Met/Kcnq2/Prkca/Plxna1/Zeb2/Epha4/Nfix/Sin3a/Ctnnb1/Dclk1/Herc1/Atxn2/Chrnb2/Lingo1/Unc5d/Hes5/Gli3/Dync2h1/Ephb3/Lhx6/Cln8/Gigyf2/Tgif2/Dcx/Psen1/Tbr1/Dlx5/Ptger3/L1cam/Atp7a/Crkl/Top2a/Ophn1/Sfrp2/Cacna1a/Ptch1",NA,"activated"
"GO:0001764","neuron migration",178,0.543238282763656,2.43887425391402,1e-10,3.98615384615385e-08,3.20253494211206e-08,2480,"tags=44%, list=20%, signal=36%","Cntn2/Arhgap32/Erbb4/Fzd3/Nrp1/Kif26a/Zfp609/Plxnb2/Dcc/Rac1/Nrp2/Ntrk2/Wdr62/Mdga1/Celsr1/Ntrk3/Chl1/Alkbh1/Gsk3b/Astn1/Zswim6/Pcnt/Nipbl/Tbc1d24/Ptprz1/Srgap2/Mdga2/Satb2/Zmiz1/Nav1/Met/Gpr173/Igsf10/Nexmif/Plxna1/Fat3/Myh10/Celsr2/Ctnnb1/Dclk1/Astn2/Celsr3/Cxcr4/Fat1/Reln/Unc5d/Nr2f2/Usp9x/Adgrl3/Neo1/Auts2/Ddit4/Lhx6/Dcx/Psen1/Trim46/Cck/Scrt1/Crkl/Sema6a/Il1r1/Abi2/Mrtfa/Mest/Mef2c/Unk/Ndn/Nrg1/Ntng2/Kirrel3/Nkx2-1/Ulk4/Lrig2/Pomgnt2/Fyn/Mapk8ip3/Pex7/Stat3/Fbxo41",NA,"activated"
"GO:0097485","neuron projection guidance",210,0.529814326008132,2.43373910036601,1e-10,3.98615384615385e-08,3.20253494211206e-08,1692,"tags=36%, list=14%, signal=31%","Cntn2/Robo1/Bmpr2/Nova2/Slit1/Ephb1/Fzd3/Nrp1/Robo2/Mycbp2/Megf8/Ark2c/Dcc/Klf7/Rac1/Nrp2/Ephb2/Nfasc/Nfib/Ank3/Arhgap35/Plxna4/Hspg2/Efnb1/Slit2/Tenm4/Chl1/Dscaml1/Trio/Ptprj/Rtn4r/Sema5a/Slit3/Bcl11b/Lama5/Lmo4/Lrp2/Diaph1/Vangl2/Plxna1/Cyfip2/Enah/Epha4/Cdh4/Myh10/Sema4c/Tenm3/Kalrn/Tenm2/Unc5c/Lrp1/Celsr3/Cxcr4/Reln/Ncam1/Unc5d/Dscam/Epha5/Nell2/Nectin1/Gli3/Neo1/Epha6/Ephb3/Epha7/Agrn/Tbr1/Dlx5/L1cam/Alkal2/Lamc1/Sema6a/Epha8/Sema4a/Ptch1",NA,"activated"
"GO:0021954","central nervous system neuron development",89,0.599924907829901,2.43213918824503,1e-10,3.98615384615385e-08,3.20253494211206e-08,1542,"tags=38%, list=13%, signal=34%","Cntn2/Robo1/Nova2/Ephb1/Nrp1/Map2/Robo2/Mycbp2/Dcc/Rac1/Nrp2/Ntrk2/Taok1/Spg11/Nfib/Arhgap35/Plxna4/Slit2/Sptbn4/Szt2/Zmiz1/Prkca/Plxna1/Zeb2/Epha4/Dclk1/Chrnb2/Lingo1/Ephb3/Lhx6/Dcx/L1cam/Atp7a/Crkl",NA,"activated"
"GO:0007411","axon guidance",208,0.526603822617875,2.39837016385695,1e-10,3.98615384615385e-08,3.20253494211206e-08,1157,"tags=31%, list=10%, signal=28%","Cntn2/Robo1/Bmpr2/Nova2/Slit1/Ephb1/Fzd3/Nrp1/Robo2/Mycbp2/Megf8/Ark2c/Dcc/Klf7/Rac1/Nrp2/Ephb2/Nfasc/Nfib/Ank3/Arhgap35/Plxna4/Hspg2/Efnb1/Slit2/Tenm4/Chl1/Dscaml1/Trio/Ptprj/Rtn4r/Sema5a/Slit3/Bcl11b/Lama5/Lmo4/Lrp2/Diaph1/Vangl2/Cyfip2/Enah/Epha4/Cdh4/Myh10/Sema4c/Tenm3/Kalrn/Tenm2/Unc5c/Lrp1/Celsr3/Cxcr4/Reln/Ncam1/Unc5d/Dscam/Epha5/Nell2/Nectin1/Gli3/Neo1/Epha6/Ephb3/Epha7",NA,"activated"
"GO:0007413","axonal fasciculation",25,0.750353852078019,2.35457523483088,4.54800763559887e-07,4.44675010710818e-05,3.5725847888674e-05,2396,"tags=64%, list=20%, signal=51%","Cntn2/Nrp1/Megf8/Arhgap35/Sema5a/Ptprz1/Epha4/Celsr3/Ncam1/Epha5/Ephb3/L1cam/Ndn/Ncam2/Rtn4/Cnr1",0.674962860011025,"activated"
"GO:0106030","neuron projection fasciculation",25,0.750353852078019,2.35457523483088,4.54800763559887e-07,4.44675010710818e-05,3.5725847888674e-05,2396,"tags=64%, list=20%, signal=51%","Cntn2/Nrp1/Megf8/Arhgap35/Sema5a/Ptprz1/Epha4/Celsr3/Ncam1/Epha5/Ephb3/L1cam/Ndn/Ncam2/Rtn4/Cnr1",0.674962860011025,"activated"
"GO:0007156","homophilic cell-cell adhesion",85,0.591400520080673,2.34380505725644,1.70488309278451e-09,4.90816899267184e-07,3.94329554439778e-07,1731,"tags=41%, list=14%, signal=36%","Pcdh17/Robo1/Pcdh1/Igsf9b/Robo2/Pcdh19/Plxnb2/Ptprf/Clstn2/Hspg2/Celsr1/Dscaml1/Fat4/Pcdh10/Dchs1/Amigo2/Pcdh9/Fat3/Cdh4/Celsr2/Tenm3/Celsr3/Fat1/Dscam/Nectin1/Clstn1/Sdk2/Cadm3/Ptprt/Cdhr2/Pcdhb10/Cdh2/L1cam/Ptpn23/Cdh22",0.788186810800237,"activated"
"GO:0021955","central nervous system neuron axonogenesis",39,0.665915546060531,2.31274338649263,3.12076183979721e-07,3.59373063418425e-05,2.88725633096637e-05,1319,"tags=44%, list=11%, signal=39%","Ephb1/Mycbp2/Dcc/Spg11/Nfib/Arhgap35/Plxna4/Slit2/Sptbn4/Szt2/Prkca/Zeb2/Epha4/Dclk1/Chrnb2/Ephb3/Dcx",0.674962860011025,"activated"
"GO:0001708","cell fate specification",45,0.653617399383738,2.29553621894351,4.93744584746952e-08,7.10717899488529e-06,5.71001269630539e-06,1692,"tags=47%, list=14%, signal=40%","Mga/Bmpr2/Nfib/Tenm4/Ntrk3/Apc2/Nfia/Apc/Lmo4/Ptch2/Nfix/Ctnnb1/Tead4/Myt1l/Sox6/Psen1/Tbr1/Fzd7/Notch1/Sfrp2/Ptch1",0.719512826338911,"activated"
