"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"GO:0045211","postsynaptic membrane",343,-0.491480521503281,-2.34803200229004,1e-10,1.4975e-08,7.92889864149601e-09,2146,"tags=38%, list=18%, signal=33%","Dag1/Itgb4/Rtn4/Pten/Cnih2/Notch2/Crhr1/Slc30a1/Sema4d/Slitrk2/Gria1/Gabrb1/Slc8a3/Snap91/Cacng7/Oprm1/Ptprs/Grik4/Crkl/Syt1/Ptprt/Kcnh1/Ank1/Rac1/Drd2/Chrna7/Grm8/Ntrk3/Adcy1/Gria3/Akap5/Cacna1d/Ctnnb1/Lrp1/Strn/Shisa6/Lpar1/Nrg1/Gabbr2/Cacna1c/Pcdh8/Celsr3/Magee1/Lrfn2/Kcnc1/Plppr4/Ank3/Usp48/Akap9/Kcna2/Lrrc4b/Gabrb2/Nlgn3/Farp1/Grin2a/Il1rapl1/Mdga2/Chrm2/Grin3a/Dmd/Srgap2/Hcn1/Adgrl3/Magi2/Ncam1/Itga3/Cacna1e/Clstn1/Slc6a6/Clstn2/Sema4c/Gabrg3/Grm5/Lrp8/Chrna4/Slitrk5/Shank1/Lrrtm4/Grm3/Ptch1/Syne1/Grin2b/Cacna1h/Dnaja3/Chrnb2/Flrt2/Dlg1/Cacna2d1/Neo1/Gnao1/Vangl2/Dnm3/Igsf9b/Utrn/Elfn2/Dlgap1/Tenm2/Ptprf/Grik3/Met/Epha7/Cntn1/Pde10a/Clcn3/Grm7/Lrrc7/Cdh10/Kcna4/Ntrk2/Sema4b/Gabrb3/Sez6l/Kcnma1/Mdga1/Epha4/Atp2b2/Slc8a1/Dcc/Cnksr2/Ptprz1/Nrp2/Gabra1/Tmem108/Grik2/Pcdh17/Robo2/Afdn/Erbb4/Kcna3/Tiam1/Nrp1/Cntn2",NA,"suppressed"
"GO:0030684","preribosome",100,0.522584795465547,2.33273425026924,3.80914384777186e-09,2.28167716481534e-07,1.20809261919445e-07,2521,"tags=52%, list=21%, signal=42%","Rps27a/Rps4x/Rps23/Exosc10/Ftsj3/Rps28/Rps8/Nol7/Rps24/Rps3a/Rps12/Ngdn/Utp25/Nop58/Riok2/Krr1/Kri1/Tsr1/Rps27/Rps12l1/Bysl/Rps14/Mphosph10/Ltv1/Mrto4/Utp18/Rrp15/Rps17/Mak16/Rps19/Wdr46/Pin4/Xrcc5/Rps19bp1/Nip7/Slx9/Rps16/Rrp7a/Rps5/Wdr12/Dnttip2/Rps9/Snu13/Rrp1b/Rps11/Rrp1/Aatf/Bms1/Riok3/Rps15a/Dimt1/Noc2l",0.761460801445585,"activated"
"GO:0042734","presynaptic membrane",226,-0.492546997140132,-2.27196689932019,1e-10,1.4975e-08,7.92889864149601e-09,1973,"tags=39%, list=16%, signal=33%","Gria1/Gabrb1/Efnb1/Snap91/Oprm1/Ptprs/Grik4/Slc1a2/Syt1/Kcnh1/Rac1/Drd2/Chrna7/Grm8/Gria3/Htr1b/Cacna1d/Ctnnb1/Cntnap4/Rims2/Tenm3/Lpar1/Nrg1/Gabbr2/Cacna1c/Stx1b/Pcdh8/Adam23/Celsr3/Kcnc1/Ap2b1/Ppfia2/Kcna2/Lrrc4b/Psen1/Gabrb2/Unc13a/Grin2a/Atp1a3/Cadm3/Chrm2/Apba1/Hcn1/Ncam1/Itga3/Stx11/Cacna1e/Pip5k1c/L1cam/Chrna4/Kcnj3/Grm3/Grin2b/Cacna1h/Cltc/Chrnb2/Rims1/Flrt2/Dlg1/Cacna2d1/Gnao1/Nrxn2/Slc4a8/Tenm2/Grik3/Stxbp5/Cntn1/Atp2b1/Cnr1/Cxadr/Grm7/Nrxn3/Cdh10/Kcna4/Dnajc6/Kcnma1/Adgrl1/Nectin1/Epha4/Scn2a/Atp2b2/Nrxn1/Fzd3/Grik2/Pcdh17/Afdn/Erbb4/Kcna3",NA,"suppressed"
"GO:0098982","GABA-ergic synapse",156,-0.495877494389965,-2.18890250236023,1.29425331378089e-09,9.69072168693441e-08,5.1310016706945e-08,2234,"tags=42%, list=18%, signal=34%","Nr3c2/Epha3/Sv2a/Dag1/Cck/Arhgef7/Sema4d/Slitrk2/Gabrb1/Npy5r/Oprm1/Rac1/Drd2/Grm8/Kif5c/Slc6a17/Cntnap4/Rims2/Ncan/Camk4/Lpar1/Nrg1/Gabbr2/Kif2a/Bsn/Gabrb2/Nlgn3/Wnk1/Cadm3/Mdga2/Dmd/Magi2/Pclo/Cacna1e/Clstn1/Slc6a6/Gabrg3/L1cam/Lrrtm4/Shroom4/Rims1/Cacna2d1/Gnao1/Igsf9b/Dcx/Erc1/Atr/Enah/Atp2b1/Cnr1/Clcn3/Cxadr/Grm7/Plcb1/Nrxn3/Cdh10/Arfgef2/Gabrb3/Mdga1/Atp2b2/Nrxn1/Gabra1/Pcdh17/Erbb4/Itpr1",0.788186810800237,"suppressed"
"GO:0031462","Cul2-RING ubiquitin ligase complex",19,-0.708985278688131,-2.08072055845017,6.84992554279549e-05,0.00151966866671648,0.000804627634527704,1762,"tags=58%, list=15%, signal=50%","Vhl/Rbx1/Zer1/Arih1/Zswim8/Zyg11b/Klhdc10/Fem1b/Fem1c/Zswim5/Zswim6",0.538434096309916,"suppressed"
"GO:0098798","mitochondrial protein-containing complex",146,0.429369386363819,2.05346258157137,7.73385410802465e-08,3.56352200823598e-06,1.886798317866e-06,4038,"tags=51%, list=33%, signal=34%","Bax/Timm50/Samm50/Ecsit/Timm21/Timm9/Mrps5/Timm10/Tomm22/Nfs1/Tmem186/Tmem126b/Mul1/Tomm7/Immt/Micu3/Mrpl28/Timm44/Mrpl18/Phb2/Dnajc11/Gadd45gip1/Uqcc1/Afg3l1/Mrps9/Ppif/Timm23/Romo1/Mrpl30/Slc25a5/Dnajc15/Afg3l2/Mrpl15/Slc25a4/Pmpcb/Mrpl54/Apoo/Micu2/Mrpl49/Pnpt1/Mrpl11/Timm17a/Hadhb/Hadha/Mrpl39/Mrpl40/Mrps26/Mrpl36/Mrpl58/Fxn/Pdss2/Acacb/Spg7/Mrpl14/Uqcrc1/Phb1/Mrps11/Mfn1/Mrpl32/Immp1l/Mrps15/Mrps25/Mrpl2/Mtx1/Mrps21/Mrpl44/Mrpl16/Slc25a5-ps11/Tomm20/Mrps2/Mrpl37/Dap3/Mrpl27/Mrpl20",0.704975715167238,"activated"
"GO:0030427","site of polarized growth",216,-0.449882258962668,-2.04900433540537,7.28703818695299e-10,7.27489312330807e-08,3.85187914540407e-08,2452,"tags=38%, list=20%, signal=31%","Kif3c/Dpysl3/Pard3/Orai1/Slc2a13/Fkbp15/Ptbp2/Rtn4/Eno2/Arhgef7/Agrn/Kif5a/Tubb3/Myo9a/Pink1/Trpc5/Ptprs/Elavl4/Chrna7/Kif5c/Ndel1/Itga4/Orai2/Pafah1b1/Lrp1/Boc/Igf2bp1/Eps8/Fry/Map1b/Kif21a/Wdr47/Auts2/Copg2/Tsc1/Psen1/Sirt1/Dclk1/Apc/Cxcr4/Tmod2/Pclo/Fryl/Ssh1/Ncam1/Itga3/Nin/Usp9x/Unc5c/L1cam/Pcdh9/Copa/Zfp804a/Ptch1/Neo1/Dcx/Utrn/Tenm2/Setx/Dscam/Ptprf/Myh10/Kif21b/Cnr1/Cxadr/Cbl/Gsk3b/Ntrk2/Dpysl2/Prex1/Map2/Ppp1r9a/Adgrl1/Nectin1/Epha4/Dcc/Nrxn1/Ptprz1/Lrig2/Dicer1/Lmtk2/Tiam1/Nrp1",0.801215574617779,"suppressed"
"GO:0014069","postsynaptic density",446,-0.409499018149118,-2.01374715683009,1e-10,1.4975e-08,7.92889864149601e-09,2285,"tags=35%, list=19%, signal=29%","Atp1a1/Slc6a9/Dgcr8/Nr3c2/Frmpd4/Iqsec1/Pkp4/Chmp4bl1/Homer1/Rtn4/Pten/Arhgap44/Cask/Cnih2/Notch2/Crhr1/Abr/Rps6ka1/Slc30a1/Baalc/Gria1/Slc8a3/Snap91/Cacng7/Amot/Ptprs/Grik4/Neurl1/Mpdz/Syt1/Ptprt/Kcnh1/Fyn/Vhl/Adcy1/Gria3/Kpna1/Kalrn/Akap5/Syngap1/Map1a/Sorcs2/Grk3/Ctnnb1/Ank2/Lrp1/Cap2/Camk2g/Strn/Shisa6/Nrg1/Cacna1c/Eps8/Nckap1/Usp8/Celsr3/Ablim1/Lrfn2/Map1b/Plppr4/Ank3/Bsn/Ppfia2/Tanc1/Syn3/Akap9/Tsc1/Lrrc4b/Rps18/Dclk1/Epb41l3/Anks1b/Grin2a/Il1rapl1/Epb41l1/Mdga2/Ctnnd2/Grin3a/Dmd/Srgap2/Magi2/Dst/Pclo/Macf1/Cpeb4/Clstn1/Clstn2/Pip5k1c/Sema4c/Drp2/Grm5/Lrp8/Slitrk5/Sos1/Shank1/Lrrtm4/Grm3/Grin2b/Opcml/Rock2/Sptbn1/Rims1/Dlg1/Neo1/Dlg5/Vangl2/Dnm3/Igsf9b/Elfn2/Dlgap1/Ptprf/Grik3/Erc1/Epha7/Pde10a/Srcin1/Ube3b/Bcr/Lrrc7/Pak3/Gsk3b/Sipa1l1/Ntrk2/Dnajc6/Sema4b/Sipa1l2/Tanc2/Mdga1/Dpysl2/Atp7a/Map2/Ppp1r9a/Epha4/Atp2b2/Arhgap32/Slc8a1/Dcc/Cnksr2/Ptprz1/Dapk1/Tmem108/Dicer1/Grik2/Mib1/Rps18l1/Nos1/Robo2/Afdn/Erbb4/Bmpr2/Itpr1/Tiam1/Tnik/Cdkl5",NA,"suppressed"
"GO:0150034","distal axon",380,-0.407022273729325,-1.98079929610646,1e-10,1.4975e-08,7.92889864149601e-09,2658,"tags=38%, list=22%, signal=30%","Amph/Kcnq5/Grin1/Kcnc3/Kif5b/Stxbp1/Napb/Ap3d1/Kif3c/Dpysl3/Pard3/Blvrb/Adcyap1/Orai1/Slc18a1/Slc2a13/Fkbp15/Sv2a/Ptbp2/Cck/Rtn4/Eno2/Arhgef7/Unc13b/Agrn/Stx6/Kif5a/Tubb3/Slc8a3/Myo9a/Ntsr1/Snap91/Pink1/Trpc5/Dixdc1/Synj2/Ptprs/Grik4/Syt1/Cdh8/Septin4/Elavl4/Drd2/Chrna7/Rimbp2/Kif5c/Gria3/Htr1b/Tprg1l/Ndel1/Grk3/Itga4/Orai2/Pafah1b1/Lrp1/Boc/Igf2bp1/Eps8/Polg/Cacna1b/Map1b/Kcnc1/Kif21a/Wdr47/Auts2/Tanc1/Copg2/Kcna2/Tsc1/Psen1/Sirt1/Syngr1/Dclk1/Unc13a/Grin2a/Atp1a3/Hcn4/Apc/Cxcr4/Chrm2/Tmod2/Hcn1/Pclo/Ssh1/Ncam1/Itga3/Scamp1/Nin/Usp9x/Unc5c/Cad/L1cam/Pcdh9/Copa/Zfp804a/Aak1/Sgip1/Ptch1/Grin2b/Cltc/Itsn1/Neo1/Prkca/Dcx/Utrn/Slc4a8/Tenm2/Setx/Dscam/Ptprf/Grik3/Myh10/Ophn1/Kif21b/Sv2b/Cnr1/Clcn3/Cxadr/Grm7/Cbl/Gsk3b/Ntrk2/Gabrb3/Kcnma1/Dpysl2/Prex1/Map2/Ppp1r9a/Adgrl1/Nectin1/Epha4/Slc8a1/Dcc/Nrxn1/Ptprz1/Lrig2/Dicer1/Grik2/Lmtk2/Nos1/Kcna3/Tiam1/Nrp1",NA,"suppressed"
"GO:0048786","presynaptic active zone",126,-0.45709479458497,-1.97409575691655,1.40064586775478e-06,5.24366796740698e-05,2.77639477951448e-05,2234,"tags=40%, list=18%, signal=33%","Nr3c2/Sv2a/Arhgap44/Unc13b/Gria1/Gabrb1/Snap91/Syt1/Grm8/Rimbp2/Gria3/Tprg1l/Map1a/Cacna1d/Ctnnb1/Rims2/Tenm3/Nrg1/Stx1b/Celsr3/Cacna1b/Bsn/Ppfia2/Gabrb2/Unc13a/Apba1/Hcn1/Pclo/Itga3/Stx11/Trio/Egflam/Grin2b/Cacna1h/Rock2/Rims1/Cacna2d1/Nrxn2/Erc1/Atp2b1/Grm7/Nrxn3/Cdh10/Ntrk2/Kcnma1/Nectin1/Atp2b2/Nrxn1/Fzd3/Afdn/Zzef1",0.643551836150722,"suppressed"
