"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"rno03410","Base excision repair",43,0.562325568820952,2.20039415212168,2.1447010691001e-05,0.00195961378639445,0.00146257132264001,2422,"tags=44%, list=20%, signal=35%","Hmgb1l1/Hmgb1/Lig1/Mutyh/Pnkp/Pcna/Rfc3/Xrcc1/Fen1/Parg/Pold2/Neil3/Ung/Parp2/Pole4/Polb/Nthl1/Apex1/Neil1",0.575610261071129
"rno04360","Axon guidance",165,-0.490296467124186,-2.16387945656107,5.4798694014337e-10,1.74227916525899e-07,1.30036212279844e-07,1441,"tags=32%, list=12%, signal=29%","Camk2g/Boc/Sema6a/Ephb3/Ablim1/Arhgef12/Pik3cb/Efna3/Shh/Cxcr4/Srgap2/Dpysl5/Ssh1/Unc5c/Nfatc3/Sema4c/Slit3/L1cam/Unc5d/Ptch1/Rock2/Plxnb2/Sema4g/Neo1/Prkca/Ssh2/Plxna2/Plxna4/Plxna1/Pik3r3/Slit2/Met/Sema5a/Epha7/Enah/Epha5/Ephb1/Pak3/Gsk3b/Sema4b/Ephb2/Dpysl2/Epha4/Dcc/Epha8/Fzd3/Lrig2/Srgap1/Robo2/Slit1/Bmpr2/Robo1/Nrp1",0.801215574617779
"rno04517","IgSF CAM signaling",230,-0.43986211942051,-2.01953464245789,1.02186461305512e-09,1.74227916525899e-07,1.30036212279844e-07,2214,"tags=36%, list=18%, signal=30%","Pik3ca/Mag/Sorbs1/Mtss2/Ncam2/Cask/Mbp/Slitrk2/Tubb3/Actn4/Ptprs/Myh11/Mpdz/Rac1/Fyn/Rapgef6/Ntrk3/Cables1/Itga4/Mylk/Srgap3/Ctnnb1/Ank2/Kirrel1/Akt3/Tjp1/Ank3/Pik3cb/Ppfia2/Kcna2/Cdh2/Lrrc4b/Nlgn3/Epb41l3/Il1rapl1/Cadm3/Epb41l1/Srgap2/Magi2/Ncam1/Unc5c/Slit3/L1cam/Sptbn2/Trio/Slitrk5/Mtss1/Lrrtm4/Unc5d/Nfasc/Sptbn1/Rims1/Prkca/Plxna2/Plxna4/Plxna1/Pik3r3/Ptprf/Slit2/Myh10/Erc1/Kcnq3/Cntn1/Sptbn4/Cxadr/Kcna4/Pak3/Rapgef2/Gsk3b/Myh9/Kcnq2/Map2/Nectin1/Dcc/Ptprz1/Nrp2/Srgap1/Robo2/Afdn/Slit1/Robo1/Nrp1/Cntn2",0.788186810800237
"rno00410","beta-Alanine metabolism",19,0.634265267446507,1.95900056412422,0.00105504300065679,0.026697702671905,0.0199260153094463,3012,"tags=68%, list=25%, signal=51%","Csad/Abat/Hibch/Gad1/Cndp2/Aldh7a1/Gad2/Cndp1/Aldh1b1/Smox/Hadha/Aldh3a2/Acads",0.45505986738723
"rno00190","Oxidative phosphorylation",95,0.438480294333709,1.92589279810512,2.29866719811665e-05,0.00195961378639445,0.00146257132264001,3543,"tags=51%, list=29%, signal=36%","mt-Nd4l/mt-Co3/Tcirg1/Atp5f1e/Sdhd/Ndufa7/Cycs/Atp5mc3/Ppa2/Ndufs8/Atp5pd/Sdhc/Atp6v0d1/Atp5me/Atp6v1c1/Ndufs3/Ndufa6/Atp6v1g2/Ndufb8/Ndufv3/Cyc1/Ndufb5/Cox7a2/Ndufb4/Sdhb/Atp5f1b/Cox5b/Cox4i1/Ndufb7/Cox7a2l/Atp5mc2/Uqcrb/Ndufv1/Ndufb10/Ndufs5/Cox10/Atp5po/Atp5pf/Uqcrc1/Ndufa9/Uqcrc2/Atp6v1e1/Ndufv2/Cox7c/Cox5a/Uqcrbl1/Sdha/Atp6v1h",0.575610261071129
"rno00071","Fatty acid degradation",34,0.513786989483928,1.91101356910487,0.00147086882560553,0.0278647927517491,0.0207970810743276,3386,"tags=56%, list=28%, signal=40%","Cpt1b/Acadsb/Acadvl/Cpt1a/Cpt1c/Aldh7a1/Acsl6/Eci1/Aldh1b1/Hadhb/Hadh/Acat2/Eci3/Hadha/Aldh3a2/Acads/Acaa2/Acat1/Adh4",0.45505986738723
"rno00280","Valine, leucine and isoleucine degradation",42,0.485948443477627,1.88137901718953,0.000931221629687611,0.026697702671905,0.0199260153094463,4490,"tags=69%, list=37%, signal=44%","Acadsb/Abat/Hibch/Dld/Aldh7a1/Bcat2/Oxct1/Ivd/Pccb/Aldh1b1/Hadhb/Hadh/Acat2/Hadha/Pcca/Aldh3a2/Acads/Acaa2/Acad8/Acat1/Mccc2/Mcee/Acaa1a/Dbt/Acsf3/Bckdhb/Aldh6a1/Il4i1/Hmgcll1",0.477270815362862
"rno01200","Carbon metabolism",94,0.420269764025342,1.86029271015069,6.91584131488408e-05,0.00471660377675094,0.00352026989809253,3538,"tags=51%, list=29%, signal=36%","Pfkp/Idh3g/Aldoc/Sdhd/LOC134480898/Gapdh/Psat1/Sdhc/Dlst/Got1/Hibch/Gpt/Dld/Shmt2/Taldo1/Sucla2/Sdhb/Pccb/Tpi1/Esd/Me3/Psph/Me2/Amt/G6pd/Eno3/Acat2/Eno1/Pc/Pcca/Hk1/Acads/Prps2/Mdh1/Prps1/Rpe/Suclg2/Glud1/Phgdh/H6pd/Idh2/Acat1/Pdha1/Aco2/Pgam1/Ogdhl/Pgk1/Sdha",0.538434096309916
"rno03030","DNA replication",33,0.512954400090369,1.85619858867033,0.000974176999072999,0.026697702671905,0.0199260153094463,2027,"tags=33%, list=17%, signal=28%","LOC134479640/Lig1/Pcna/Rfc3/Fen1/Pold2/Mcm4/Mcm6/Pole4/Mcm7/Mcm2",0.477270815362862
"rno05133","Pertussis",42,0.474749679493857,1.83802231986842,0.00130659135190562,0.026697702671905,0.0199260153094463,2321,"tags=33%, list=19%, signal=27%","Fos/Mapk11/Jun/Irf3/C1qb/C3/C1qc/C2/Cfl2/C1qa/Casp3/Irf8/Il23a/Mapk14",0.45505986738723
