"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","direction"
"rno03410","Base excision repair",43,0.562325568820952,2.20039415212168,2.1447010691001e-05,0.00195961378639445,0.00146257132264001,2422,"tags=44%, list=20%, signal=35%","108348989/25459/81513/170841/308576/25737/288414/84495/84490/83507/289758/290729/304577/290027/362385/29240/29541/79116/367090",0.575610261071129,"activated"
"rno04360","Axon guidance",165,-0.490296467124186,-2.16387945656107,5.4798694014337e-10,1.74227916525899e-07,1.30036212279844e-07,1441,"tags=32%, list=12%, signal=29%","171140/360715/361324/287989/307989/367072/85243/170901/29499/60628/360840/65208/304580/362049/361400/301346/83467/50687/306534/89830/25537/315217/361764/81735/24680/303342/289392/312213/362398/60664/360272/24553/310207/171287/360891/79208/24338/29433/84027/293042/313633/25416/316539/25311/60589/266715/310753/314903/84409/65047/140590/58946/246331",0.801215574617779,"suppressed"
"rno04517","IgSF CAM signaling",230,-0.43986211942051,-2.01953464245789,1.02186461305512e-09,1.74227916525899e-07,1.30036212279844e-07,2214,"tags=36%, list=18%, signal=30%","170911/29409/686098/307845/288280/29647/24547/309349/246118/63836/25529/24582/29365/363875/25150/303141/29613/307585/311144/288057/500287/84353/362036/310695/29414/292994/361833/85243/362876/25468/83501/308571/171297/116724/317553/360882/59317/360840/113970/24586/362049/83467/50687/29211/310192/306152/362918/500219/306534/116690/305614/84556/24680/289392/312213/362398/60664/360406/360272/79433/266806/29682/117258/308458/89843/25469/29433/310533/84027/25745/170848/25595/192183/25311/25613/81527/314903/84409/26955/65047/58946/246331/25356",0.788186810800237,"suppressed"
"rno00410","beta-Alanine metabolism",19,0.634265267446507,1.95900056412422,0.00105504300065679,0.026697702671905,0.0199260153094463,3012,"tags=68%, list=25%, signal=51%","60356/81632/301384/24379/291394/291450/24380/307212/298079/308652/170670/65183/64304",0.45505986738723,"activated"
"rno00190","Oxidative phosphorylation",95,0.438480294333709,1.92589279810512,2.29866719811665e-05,0.00195961378639445,0.00146257132264001,3543,"tags=51%, list=29%, signal=36%","26200/26204/293650/245958/363061/299643/25309/114630/310856/293652/641434/289217/291969/140608/299971/295923/315167/368044/293991/64539/300047/294964/29507/288088/298596/171374/94194/29445/361385/298762/171082/362897/293655/681418/362588/691853/192241/94271/301011/362440/293448/297566/81728/100188937/252934/685596/157074/297797",0.575610261071129,"activated"
"rno00071","Fatty acid degradation",34,0.513786989483928,1.91101356910487,0.00147086882560553,0.0278647927517491,0.0207970810743276,3386,"tags=56%, list=28%, signal=40%","25756/25618/25363/25757/308579/291450/117243/29740/298079/171155/113965/308100/291076/170670/65183/64304/170465/25014/29646",0.45505986738723,"activated"
"rno00280","Valine, leucine and isoleucine degradation",42,0.485948443477627,1.88137901718953,0.000931221629687611,0.026697702671905,0.0199260153094463,4490,"tags=69%, list=37%, signal=44%","25618/81632/301384/298942/291450/64203/690163/24513/24624/298079/171155/113965/308100/170670/687008/65183/64304/170465/367196/25014/361884/293829/24157/29611/498962/29711/81708/100360621/367112",0.477270815362862,"activated"
"rno01200","Carbon metabolism",94,0.420269764025342,1.86029271015069,6.91584131488408e-05,0.00471660377675094,0.00352026989809253,3538,"tags=51%, list=29%, signal=36%","60416/25179/24191/363061/134480898/24383/293820/289217/299201/24401/301384/81670/298942/299857/83688/361071/298596/24624/24849/290401/361602/304429/307270/306586/24377/25438/308100/24333/25104/687008/25058/64304/24689/24551/29562/501157/362404/24399/58835/298655/361596/25014/29554/79250/24642/290566/24644/157074",0.538434096309916,"activated"
"rno03030","DNA replication",33,0.512954400090369,1.85619858867033,0.000974176999072999,0.026697702671905,0.0199260153094463,2027,"tags=33%, list=17%, signal=28%","134479640/81513/25737/288414/84490/289758/29728/29685/362385/288532/312538",0.477270815362862,"activated"
"rno05133","Pertussis",42,0.474749679493857,1.83802231986842,0.00130659135190562,0.026697702671905,0.0199260153094463,2321,"tags=33%, list=19%, signal=27%","314322/689314/24516/292892/29687/24232/362634/24231/366624/298566/25402/292060/155140/81649",0.45505986738723,"activated"
"rno05323","Rheumatoid arthritis",39,0.490319736181012,1.83013819415864,0.00115394981396712,0.026697702671905,0.0199260153094463,2533,"tags=38%, list=21%, signal=31%","314322/83785/24516/293650/291969/299971/54251/25464/368044/294270/24772/25697/155140/308995/365542",0.45505986738723,"activated"
"rno05150","Staphylococcus aureus infection",18,0.614498784176466,1.8237071593077,0.00401927006067918,0.0370424619105838,0.0276468980196792,2533,"tags=56%, list=21%, signal=44%","29687/24232/362634/24231/25464/298566/294270/450225/308995/365542",0.407017918923954,"activated"
"rno04929","GnRH secretion",51,-0.495817737330734,-1.7940653502308,0.000534510923679471,0.0260383178535285,0.0194338788830559,3928,"tags=57%, list=32%, signal=39%","25743/81662/54262/81678/89821/29717/84494/170851/25031/116590/25387/78976/170911/114244/140933/29716/83633/24239/29414/85243/84390/50599/114862/24680/54263/60664/24654/56827/25262",0.477270815362862,"suppressed"
"rno03050","Proteasome",40,0.476213165566607,1.78014410232498,0.00263469802413318,0.0340734535535494,0.0254309580677223,3743,"tags=52%, list=31%, signal=36%","24967/58854/29630/288455/29673/117263/287772/680532/289924/81827/311078/29671/83499/365388/287670/689852/29614/29672/100360846/94198/307821",0.431707695803346,"activated"
"rno04130","SNARE interactions in vesicular transport",29,0.505062043009216,1.76926164518021,0.00348109914614376,0.0363080612736202,0.0270987730174931,1825,"tags=45%, list=15%, signal=38%","25130/364033/64351/59074/60466/81802/65134/25624/65277/24803/64154/310710/29528",0.431707695803346,"activated"
"rno04970","Salivary secretion",49,-0.480736465333373,-1.76863931524785,0.00292984258146114,0.0340734535535494,0.0254309580677223,1693,"tags=29%, list=14%, signal=25%","305509/293508/24214/25289/66012/24213/24680/29598/24654/83731/24215/24598/25262/170546",0.431707695803346,"suppressed"
"rno04610","Complement and coagulation cascades",29,0.502219852863133,1.75930528816749,0.00381001539631106,0.037039742688299,0.0276448685092924,2647,"tags=45%, list=22%, signal=35%","29687/24232/362634/25245/29366/24231/24617/298566/81750/25692/302470/25407/25584",0.431707695803346,"activated"
"rno03060","Protein export",27,0.506789115615741,1.7463164164964,0.00474969408551095,0.0395035532477862,0.0294837505858233,3784,"tags=56%, list=31%, signal=38%","309858/288518/266758/25617/294912/689134/291963/498351/293142/65166/363707/293864/691145/690345/80843",0.407017918923954,"activated"
"rno00511","Other glycan degradation",16,0.586973167298898,1.72352583659204,0.0109149536043489,0.0625284989964597,0.0466685783264531,3488,"tags=62%, list=29%, signal=45%","24591/290923/24375/100216475/361378/684536/246136/316033/292485/117185",0.380730400722792,"activated"
"rno01230","Biosynthesis of amino acids",60,0.417521009410436,1.72262717348261,0.00177748233498285,0.0303060738114576,0.0226191481026493,3536,"tags=45%, list=29%, signal=32%","171347/60416/25179/24191/134480898/24383/293820/24401/81670/299857/83688/24250/64203/24849/304429/25438/24333/25104/300981/24689/29562/501157/58835/361596/79250/24642/24644",0.45505986738723,"activated"
"rno03083","Polycomb repressive complex",75,-0.430075536428131,-1.70097258764872,0.00128506546638516,0.026697702671905,0.0199260153094463,1920,"tags=36%, list=16%, signal=30%","58967/312690/313922/313978/310511/305624/303602/365462/298065/317346/304419/363519/309550/313098/302810/304572/304298/307555/54244/681740/311553/315136/303907/361700/310258/311026/499874",0.45505986738723,"suppressed"
"rno05033","Nicotine addiction",30,-0.521900318472232,-1.69755036384345,0.00318512695388617,0.0350363964927479,0.026149657200168,1973,"tags=47%, list=16%, signal=39%","50592/25450/25302/29628/257648/25451/24409/191573/79211/25590/24410/54239/24922/29705",0.431707695803346,"suppressed"
"rno04927","Cortisol synthesis and secretion",45,-0.473522716074579,-1.69321523502347,0.00190776775016945,0.0309785144194183,0.0231210288080262,1877,"tags=36%, list=15%, signal=30%","81647/294930/81646/305509/29716/293508/25289/24239/362339/24790/300438/114862/24654/25469/56827/25262",0.45505986738723,"suppressed"
"rno05412","Arrhythmogenic right ventricular cardiomyopathy",64,-0.447409384219728,-1.69208518259692,0.00248895011252745,0.0340734535535494,0.0254309580677223,2146,"tags=33%, list=18%, signal=27%","114489/25724/140448/140728/29716/311144/84353/24239/362800/83501/689560/689421/25437/360606/114517/432360/25399/81679/29693/29715/24598",0.431707695803346,"suppressed"
