Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"TCF4"	"24.0"	"Literature ChIP-seq,9;ARCHS4 Coexpression,9;Enrichr Queries,59;ReMap ChIP-seq,24;GTEx Coexpression,19"	"ROBO2,SEMA5A,NRP1,NRP2,TENM2,BMPR2,TRIO,TENM4,PTPRJ,ARHGAP35,GLI3,ROBO1,CDH4,ZMIZ1,CHL1,EPHB2,EPHB1,NEO1,EPHB3,EPHA5,EPHA4,SZT2,EPHA7,SEMA6A,EPHA6,DCC,PRKCA,UNC5C,ANK3,UNC5D,ZEB2,DCX,MET,MYCBP2,CXCR4,LRP2,KALRN,RELN,ERBB4,MAP2,SLIT3,NCAM1,ZSWIM6,SLIT2,MYH10,PLXNA4,FZD3,PTCH1,DCLK1,NELL2,KLF7,NFASC,NFIB,NOVA2,TAOK1,LHX6,CTNNB1,MDGA2,NECTIN1"
"gene_set_query"	"2"	"FOXG1"	"24.33"	"ARCHS4 Coexpression,8;Enrichr Queries,23;GTEx Coexpression,42"	"ROBO2,NRP1,TENM4,DLX5,KALRN,GLI3,ROBO1,CDH4,RELN,MAP2,ERBB4,NCAM1,SLIT2,PLXNA4,CHRNB2,EPHA5,NTRK2,LINGO1,EPHA4,EPHA7,FZD3,BCL11B,LMO4,TBR1,DCLK1,NELL2,ENAH,ZEB2,NFIB,NOVA2,DCX"
"gene_set_query"	"3"	"NHLH2"	"26.67"	"ARCHS4 Coexpression,14;Enrichr Queries,36;GTEx Coexpression,30"	"RTN4R,ROBO2,SPTBN4,NRP1,TENM4,CXCR4,KALRN,CELSR3,ROBO1,RELN,ERBB4,MAP2,SLIT3,NCAM1,SLIT2,EPHB2,EPHB1,EPHA5,EPHA4,NTRK2,LINGO1,FZD3,BCL11B,DCC,TBR1,ANK3,L1CAM,DCLK1,NELL2,KLF7,ZEB2,NFASC,VANGL2,NFIB,NOVA2,DCX,CNTN2,MDGA1"
"gene_set_query"	"4"	"NEUROD6"	"28.0"	"ARCHS4 Coexpression,27;Enrichr Queries,41;GTEx Coexpression,16"	"ROBO2,NRP1,TENM2,TENM4,KALRN,ROBO1,CDH4,RELN,MAP2,PLXNA1,NCAM1,PLXNA4,CHRNB2,EPHA5,LINGO1,EPHA4,EPHA7,BCL11B,LMO4,DCC,TBR1,PRKCA,UNC5D,DCLK1,NELL2,KLF7,ZEB2,NFIB,NOVA2,DCX"
"gene_set_query"	"5"	"MYT1"	"28.33"	"ARCHS4 Coexpression,49;Enrichr Queries,3;GTEx Coexpression,33"	"RTN4R,ROBO2,CYFIP2,SPTBN4,TENM4,CXCR4,KALRN,CELSR3,CDH4,RELN,ERBB4,MAP2,SLIT1,SLIT3,NCAM1,EPHB1,PLXNA4,CHRNB2,NTRK2,LINGO1,SEMA6A,BCL11B,DCC,ANK3,L1CAM,DCLK1,NELL2,NFASC,NFIB,NOVA2,DCX,CNTN2,MDGA1,DSCAML1"
"gene_set_query"	"6"	"SOX1"	"30.67"	"ARCHS4 Coexpression,21;Enrichr Queries,51;GTEx Coexpression,20"	"TENM3,TENM4,DLX5,CXCR4,GLI3,CELSR3,ROBO1,EFNB1,CDH4,MAP2,NCAM1,SLIT2,EPHB2,EPHB1,MYH10,EPHB3,CHRNB2,EPHA4,NTRK2,EPHA7,FZD3,SEMA6A,DSCAM,BCL11B,DCC,TBR1,DCLK1,NELL2,ZEB2,VANGL2,NFIB,NOVA2,DCX,LHX6,MDGA2"
"gene_set_query"	"7"	"SCRT2"	"43.0"	"ARCHS4 Coexpression,17;Enrichr Queries,34;GTEx Coexpression,78"	"RTN4R,ROBO2,SPTBN4,CXCR4,KALRN,CELSR3,CDH4,ZMIZ1,MAP2,SLIT3,NCAM1,EPHB2,PLXNA4,EPHA4,LINGO1,FZD3,BCL11B,DCC,TBR1,ANK3,L1CAM,DCLK1,NELL2,NFASC,VANGL2,NFIB,NOVA2,DCX,CNTN2,MDGA1,DSCAML1,NECTIN1"
"gene_set_query"	"8"	"FEZF2"	"43.33"	"ARCHS4 Coexpression,111;Enrichr Queries,16;GTEx Coexpression,3"	"ROBO2,TENM2,TENM4,DLX5,KALRN,GLI3,EFNB1,CDH4,RELN,MAP2,ERBB4,PLXNA1,SLIT2,EPHB1,PLXNA4,EPHB3,CHRNB2,EPHA5,LINGO1,EPHA4,NTRK2,FZD3,DSCAM,BCL11B,LMO4,DCC,TBR1,DCLK1,NELL2,ZEB2,NFIB,NOVA2,DCX,MDGA2"
"gene_set_query"	"9"	"ZIC1"	"49.67"	"ARCHS4 Coexpression,65;Enrichr Queries,45;GTEx Coexpression,39"	"RTN4R,SEMA5A,SPTBN4,TENM2,TENM3,TENM4,CXCR4,CELSR3,GLI3,ROBO1,CDH4,RELN,MAP2,PLXNA1,NCAM1,SLIT2,EPHA4,NTRK2,EPHA7,FZD3,SEMA6A,BCL11B,TBR1,ANK3,L1CAM,DCLK1,NELL2,ZEB2,VANGL2,NFIB,CNTN2,MEGF8,MDGA1"
"gene_set_query"	"10"	"EBF3"	"55.33"	"ARCHS4 Coexpression,12;Enrichr Queries,87;GTEx Coexpression,67"	"ROBO2,NRP1,TENM4,CXCR4,KALRN,CELSR3,ROBO1,RELN,ZMIZ1,MAP2,SLIT1,SLIT3,NCAM1,SLIT2,EPHB2,PLXNA4,EPHA4,NTRK2,LINGO1,FZD3,SEMA6A,BCL11B,DCC,L1CAM,HSPG2,DCLK1,NELL2,KLF7,ZEB2,NFASC,VANGL2,NFIB,NOVA2,DCX,LHX6,CNTN2,MDGA1"
