"gene","n_path","baseMean","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15","mean_0","mean_5","mean_15","L2FC_5v0","padj_5v0","L2FC_15v0","padj_15v0","L2FC_15v5","padj_15v5","pathways"
"Cntn2",5,15129,14562.2,15403.9,13075.4,13330.4,15953.6,14293.7,14267.8,19209.2,16062,14053.5,16855.6,14477,0.255,0.0139,0.037,1,-0.218,0.192,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Nrp1",5,6210,6070.8,6378.1,5758.1,5478.1,6198.6,5685.1,6545.2,7368.9,6409.5,6031.4,6648.5,5950.9,0.14,0.205,-0.018,1,-0.158,0.382,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Dcc",5,2824,2632.8,2835.2,2232.7,2421,3107.1,2539.5,2502.1,3898.9,3245.9,2518.6,3280.4,2672.7,0.363,0.326,0.064,1,-0.298,1,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Rac1",5,15589,15351.1,15929.5,15588.1,14727.8,16261.3,15393.6,14909.1,16093.8,16042.9,14996,16094.9,15674.9,0.102,0.379,0.064,1,-0.038,1,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Nrp2",5,2488,2396.7,2514.5,2214.8,2108.8,2292.4,2170.8,2625.3,3224.9,2840.9,2376.9,2677.2,2408.8,0.163,0.387,0.014,1,-0.149,1,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Robo1",4,11723,10988.5,11311.7,10118.9,10585.9,12117.6,10853.5,11714.9,14827.8,12990.8,11096.4,12752.4,11321.1,0.191,0.0759,0.021,1,-0.17,0.452,"CNSdiff, projGuid, CNSdev, axonGuid"
"Nova2",4,3985,3962.5,4177.3,3508.2,3423.4,4039,3846.3,3603.9,4869.1,4434,3663.3,4361.8,3929.5,0.246,0.115,0.096,1,-0.15,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Ephb1",4,6502,6222.9,6698.2,6228.8,6011.9,6669.2,6208.9,6272.4,7244.2,6965.9,6169.1,6870.6,6467.9,0.154,0.127,0.067,1,-0.088,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Robo2",4,10595,10632,10859.4,9731.7,10092.4,11027.1,10124.6,9637,12310.5,10940.4,10120.5,11399,10265.5,0.169,0.21,0.018,1,-0.151,0.82,"CNSdiff, projGuid, CNSdev, axonGuid"
"Mycbp2",4,9152,7807,8883.2,7462.9,6830.6,9288.3,9077.4,7141.8,15041.8,10837.7,7259.8,11071.1,9126,0.563,0.293,0.303,1,-0.259,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Nfib",4,7739,7692.6,7594.4,6800.1,7402.5,8047.3,7529,7401.2,9310.8,7868.6,7498.8,8317.5,7399.3,0.144,0.443,-0.023,1,-0.167,0.696,"CNSdiff, projGuid, CNSdev, axonGuid"
"Plxna4",4,5950,5429.4,5622.8,4584.8,4772.7,6387.1,5546.9,4920.4,9407.5,6878.5,5040.8,7139.1,5670.1,0.46,0.478,0.138,1,-0.321,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Arhgap35",4,21846,21234.9,21813.4,20295.7,21099.9,22052.5,21188.3,21300.4,24633,22995,21211.8,22833,21493,0.104,0.478,0.017,1,-0.087,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Slit2",4,686,561.2,621.9,587.2,678.1,747.8,610.6,665,894.9,803.1,634.8,754.8,667,0.238,0.52,0.062,1,-0.176,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Plxna1",4,10098,10110,9980,8988.3,9494.3,10453.1,9388.5,9173.5,12533.7,10759.7,9592.6,10988.9,9712.2,0.187,0.828,0.011,1,-0.177,1,"CNSdiff, migration, projGuid, CNSdev"
"Epha4",4,8355,8353.2,8202.4,7732.5,8254.9,8393.4,7716,7949.3,9842.5,8746.8,8185.8,8812.8,8065.1,0.101,0.838,-0.026,1,-0.127,1,"CNSdiff, projGuid, CNSdev, axonGuid"
"Unc5d",4,999,1039.9,1011.5,934.6,958.7,1031,979.7,903.2,1147.1,985.2,967.3,1063.2,966.5,0.136,0.919,-0.001,1,-0.137,1,"CNSdiff, migration, projGuid, axonGuid"
"Ephb3",4,287,298.9,304,294.8,280.1,327,250.1,240.7,303.3,285.7,273.2,311.5,276.9,0.192,0.999,0.021,1,-0.17,1,"CNSdiff, projGuid, CNSdev, axonGuid"
