gene,n_path,baseMean,L2FC_5v0,pval_5v0,padj_5v0,L2FC_15v5,padj_15v5,biology,qPCR_priority,pathways
Tenm4,2,3136,0.628,0.0233,0.527,-0.386,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Hspg2,2,129,0.605,0.0191,NA,-0.5,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Mycbp2,4,9152,0.563,0.00567,0.293,-0.259,1,other guidance,2-high(FC大),"CNSdiff, projGuid, CNSdev, axonGuid"
Ank3,2,6992,0.513,0.0179,0.476,-0.268,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Plxna4,4,5950,0.46,0.0189,0.478,-0.321,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, projGuid, CNSdev, axonGuid"
Erbb4,2,525,0.432,0.0012,0.141,-0.356,0.805,other guidance,2-high(FC大),"CNSdiff, migration"
Dcc,5,2824,0.363,0.00737,0.326,-0.298,1,Netrin receptor,2-high(FC大),"CNSdiff, migration, projGuid, CNSdev, axonGuid"
Trio,2,9364,0.319,0.0308,0.59,-0.217,1,Rho/cytoskeleton effector,4-low(p 0.01-0.05),"projGuid, axonGuid"
Slit3,2,238,0.314,0.0457,0.689,-0.224,1,Slit-Robo,4-low(p 0.01-0.05),"projGuid, axonGuid"
Nfasc,2,9830,0.299,0.0125,0.404,-0.186,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Bmpr2,2,3579,0.257,0.000655,0.112,-0.213,0.696,other guidance,"2-high(p<0.001,FC大)","projGuid, axonGuid"
Slit1,2,2526,0.256,0.000889,0.127,-0.214,0.711,Slit-Robo,"2-high(p<0.001,FC大)","projGuid, axonGuid"
Cntn2,5,15129,0.255,1.31e-05,0.0139,-0.218,0.192,other guidance,1-top(DEG),"CNSdiff, migration, projGuid, CNSdev, axonGuid"
Nova2,4,3985,0.246,0.000714,0.115,-0.15,1,other guidance,"2-high(p<0.001,FC大)","CNSdiff, projGuid, CNSdev, axonGuid"
Slit2,4,686,0.238,0.0224,0.52,-0.176,1,Slit-Robo,4-low(p 0.01-0.05),"CNSdiff, projGuid, CNSdev, axonGuid"
Spg11,2,1305,0.236,0.0119,0.394,-0.119,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, CNSdev"
Fzd3,3,2164,0.228,0.00164,0.167,-0.161,1,other guidance,3-mid,"migration, projGuid, axonGuid"
Sema5a,2,845,0.216,0.0378,0.635,-0.177,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Dscaml1,2,923,0.21,0.028,0.567,-0.15,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Szt2,2,1492,0.203,0.0411,0.654,-0.239,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, CNSdev"
Megf8,2,4702,0.192,0.00595,0.297,-0.092,1,other guidance,3-mid,"projGuid, axonGuid"
Robo1,4,11723,0.191,0.000365,0.0759,-0.17,0.452,Slit-Robo,3-mid,"CNSdiff, projGuid, CNSdev, axonGuid"
Ark2c,2,2059,0.172,0.00688,0.313,-0.164,0.846,other guidance,3-mid,"projGuid, axonGuid"
Taok1,2,2295,0.171,0.0111,0.387,-0.157,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, CNSdev"
Robo2,4,10595,0.169,0.00309,0.21,-0.151,0.82,Slit-Robo,3-mid,"CNSdiff, projGuid, CNSdev, axonGuid"
Map2,2,69209,0.164,0.00308,0.21,-0.117,1,other guidance,3-mid,"CNSdiff, CNSdev"
Nrp2,5,2488,0.163,0.011,0.387,-0.149,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, migration, projGuid, CNSdev, axonGuid"
Klf7,2,3886,0.155,0.00883,0.348,-0.174,0.631,other guidance,3-mid,"projGuid, axonGuid"
Ephb1,4,6502,0.154,0.000913,0.127,-0.088,1,Eph-ephrin,3-mid,"CNSdiff, projGuid, CNSdev, axonGuid"
Ntrk2,3,10111,0.152,0.011,0.387,-0.118,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, migration, CNSdev"
Nfib,4,7739,0.144,0.0155,0.443,-0.167,0.696,other guidance,4-low(p 0.01-0.05),"CNSdiff, projGuid, CNSdev, axonGuid"
Ptprj,2,1573,0.143,0.0313,0.592,-0.189,0.696,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Zswim6,2,2099,0.143,0.0394,0.643,-0.188,0.785,other guidance,4-low(p 0.01-0.05),"CNSdiff, migration"
Sptbn4,2,2896,0.141,0.0387,0.639,-0.124,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, CNSdev"
Nrp1,5,6210,0.14,0.00284,0.205,-0.158,0.382,other guidance,3-mid,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
Ephb2,2,7191,0.139,0.0121,0.394,-0.114,1,Eph-ephrin,4-low(p 0.01-0.05),"projGuid, axonGuid"
Mdga1,2,6167,0.139,0.0166,0.46,-0.119,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, migration"
Rtn4r,2,1919,0.137,0.0335,0.606,-0.014,1,other guidance,4-low(p 0.01-0.05),"projGuid, axonGuid"
Chl1,3,8411,0.119,0.0273,0.56,-0.135,0.935,other guidance,4-low(p 0.01-0.05),"migration, projGuid, axonGuid"
Efnb1,2,5225,0.106,0.0194,0.478,-0.042,1,Eph-ephrin,4-low(p 0.01-0.05),"projGuid, axonGuid"
Arhgap35,4,21846,0.104,0.0186,0.478,-0.087,1,Rho/cytoskeleton effector,4-low(p 0.01-0.05),"CNSdiff, projGuid, CNSdev, axonGuid"
Rac1,5,15589,0.102,0.0101,0.379,-0.038,1,Rho/cytoskeleton effector,4-low(p 0.01-0.05),"CNSdiff, migration, projGuid, CNSdev, axonGuid"
Bcl11b,3,8084,0.097,0.0484,0.71,-0.039,1,other guidance,4-low(p 0.01-0.05),"CNSdiff, projGuid, axonGuid"
