"gene_id","n_pathways","pathways"
"Cntn2",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Dcc",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Nrp1",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Nrp2",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Rac1",5,"CNSdiff, migration, projGuid, CNSdev, axonGuid"
"Arhgap35",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Epha4",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Ephb1",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Ephb3",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Mycbp2",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Nfib",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Nova2",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Plxna1",4,"CNSdiff, migration, projGuid, CNSdev"
"Plxna4",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Robo1",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Robo2",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Slit2",4,"CNSdiff, projGuid, CNSdev, axonGuid"
"Unc5d",4,"CNSdiff, migration, projGuid, axonGuid"
"Bcl11b",3,"CNSdiff, projGuid, axonGuid"
"Celsr3",3,"migration, projGuid, axonGuid"
"Chl1",3,"migration, projGuid, axonGuid"
"Crkl",3,"CNSdiff, migration, CNSdev"
"Cxcr4",3,"migration, projGuid, axonGuid"
"Dclk1",3,"CNSdiff, migration, CNSdev"
"Dcx",3,"CNSdiff, migration, CNSdev"
"Fzd3",3,"migration, projGuid, axonGuid"
"Gli3",3,"CNSdiff, projGuid, axonGuid"
"L1cam",3,"CNSdiff, projGuid, CNSdev"
"Lhx6",3,"CNSdiff, migration, CNSdev"
"Lmo4",3,"CNSdiff, projGuid, axonGuid"
"Myh10",3,"migration, projGuid, axonGuid"
"Neo1",3,"migration, projGuid, axonGuid"
"Ntrk2",3,"CNSdiff, migration, CNSdev"
"Reln",3,"migration, projGuid, axonGuid"
