"symbol","log2_5min","log2_15min","LRT_padj","wald5v0_padj","LRT_only","trend"
"ENSRNOG00000008015 (no symbol)",-2.47,0.56,0.000107,NA,"","5min pulse DOWN"
"ENSRNOG00000020009 (no symbol)",-1.82,0.58,0.0185,NA,"","5min pulse DOWN"
"ENSRNOG00000048270 (no symbol)",-1.16,-0.45,0.0185,NA,"","5min pulse DOWN"
"ENSRNOG00000059660 (no symbol)",-0.85,-0.33,0.0457,NA,"","5min pulse DOWN"
"ENSRNOG00000016071 (no symbol)",-0.49,-0.14,0.00499,NA,"","5min pulse DOWN"
"ENSRNOG00000031092 (no symbol)",-0.43,0,2.47e-07,NA,"","5min pulse DOWN"
"ENSRNOG00000043866 (no symbol)",-0.36,0.01,8.95e-05,NA,"","5min pulse DOWN"
"ENSRNOG00000045844 (no symbol)",-0.36,-0.04,0.0295,NA,"","5min pulse DOWN"
"ENSRNOG00000002835 (no symbol)",-0.35,-0.21,0.0402,NA,"","5min pulse DOWN"
"ENSRNOG00000005513 (no symbol)",-0.31,0.04,1.93e-07,NA,"","5min pulse DOWN"
"ENSRNOG00000020763 (no symbol)",-0.26,-0.1,0.0372,NA,"","5min pulse DOWN"
"ENSRNOG00000005387 (no symbol)",-0.18,0.05,0.0143,NA,"","5min pulse DOWN"
"ENSRNOG00000000796 (no symbol)",0.21,-0.04,0.0372,NA,"","5min pulse UP"
"ENSRNOG00000009033 (no symbol)",0.26,0.04,0.0185,NA,"","5min pulse UP"
"ENSRNOG00000018373 (no symbol)",0.4,0.18,0.0368,NA,"","5min pulse UP"
"ENSRNOG00000050500 (no symbol)",0.42,0.11,0.0431,NA,"","5min pulse UP"
"ENSRNOG00000006645 (no symbol)",0.51,0.08,0.0354,NA,"","5min pulse UP"
"ENSRNOG00000046156 (no symbol)",-0.76,-2.03,0.0364,NA,"","fall / sustained"
"ENSRNOG00000049104 (no symbol)",-0.45,-0.41,0.0374,NA,"","fall / sustained"
