"ensembl","symbol","entrez"
"ENSRNOG00000029897",NA,NA
"ENSRNOG00000014303","Lrp11","292462"
"ENSRNOG00000014330","Pcmt1","25604"
"ENSRNOG00000049505","Nup43","683983"
"ENSRNOG00000014916","Lats1","308265"
"ENSRNOG00000014996","Katna1","292464"
"ENSRNOG00000015239","Ginm1","361448"
"ENSRNOG00000015552","Ppil4","361449"
"ENSRNOG00000016054","Tab2","308267"
"ENSRNOG00000016381","Ust","361450"
"ENSRNOG00000013160","Sash1","365037"
"ENSRNOG00000023549",NA,NA
"ENSRNOG00000013351","Stxbp5","81022"
"ENSRNOG00000014258",NA,NA
"ENSRNOG00000014290","Grm1","24414"
"ENSRNOG00000014450","Shprh","308282"
"ENSRNOG00000014852","Fbxo30","308283"
"ENSRNOG00000040242","Epm2a","114005"
"ENSRNOG00000011058","Utrn","25600"
"ENSRNOG00000014902","Stx11","292483"
"ENSRNOG00000014908","Sf3b5","680891"
"ENSRNOG00000025587","Plagl1","25157"
"ENSRNOG00000015217","Ltv1","361452"
"ENSRNOG00000015473","Phactr2","308291"
"ENSRNOG00000015551","Fuca2","292485"
"ENSRNOG00000015660","Pex3","83519"
"ENSRNOG00000046983","Adat2","361453"
"ENSRNOG00000010753","Aig1","292486"
"ENSRNOG00000011015","Hivep2","29721"
"ENSRNOG00000011411","Adgrg6","308376"
"ENSRNOG00000011540","Vta1","292640"
"ENSRNOG00000012103","Nmbr","25264"
"ENSRNOG00000060990",NA,NA
"ENSRNOG00000051831",NA,NA
"ENSRNOG00000047746",NA,NA
"ENSRNOG00000059898",NA,NA
"ENSRNOG00000056940","Cited2","114490"
"ENSRNOG00000060021","Txlnb","308622"
"ENSRNOG00000060972","Heca","308624"
"ENSRNOG00000051450",NA,NA
"ENSRNOG00000059224","Reps1","292944"
"ENSRNOG00000053347","Ccdc28a","361454"
"ENSRNOG00000060603","Nhsl1","308631"
"ENSRNOG00000053735","Hebp2","308632"
"ENSRNOG00000011460","Arfgef3","292947"
"ENSRNOG00000011994","Perp","292949"
